NAME	LT_HSC_Ctrl_1	LT_HSC_Ctrl_2	LT_HSC_Ctrl_3	LT_HSC_shCTCF_1	LT_HSC_shCTCF_2	LT_HSC_shCTCF_3	ST_HSC_Ctrl_1	ST_HSC_Ctrl_2	ST_HSC_Ctrl_3	ST_HSC_shCTCF_1	ST_HSC_shCTCF_2	ST_HSC_shCTCF_3	CD34+/CD38+_Ctrl_1	CD34+/CD38+_Ctrl_2	CD34+/CD38+_Ctrl_3	CD34+/CD38+shCTCF_1	CD34+/CD38+shCTCF_2	CD34+/CD38+shCTCF_3
PRDM16	2.3415	2.45656	2.22972	2.28817	2.4319	2.70288	1.23827	0.588727	1.12404	1.62838	0.800716	1.48597	0	0.0990336	0.0524819	0	0.099323	0.0417944
MIR4251	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARHGEF16	0.505858	0.61245	0.387217	0.0913522	0.211551	0.211381	0.240993	0.166288	0.473776	0.162339	0.141622	0.300919	0.112018	0.0592964	0	0	0.0213641	0.0957067
TPRG1L	9.25851	12.8224	10.7397	9.09774	14.2752	10.8604	9.30929	9.26814	8.29161	8.60371	9.70907	8.74556	10.0416	10.2395	10.0284	9.23535	8.9639	7.25897
TP73	0.115099	0.0464891	0.119624	0.0862309	0.0871029	0.136018	0.0950773	0.0953922	0.0882425	0.0359664	0.115673	0.118264	0.052526	0.129064	0.0691362	0.0760052	0.100696	0.0562081
CCDC27	0	0	0	0	0	0	0.027732	0	0.0596822	0	0	0	0	0	0	0	0	0
SMIM1	3.38624	2.49618	3.29571	1.51967	2.33333	0.893561	4.38394	8.91556	4.40159	1.36465	5.72088	3.23474	21.4442	13.1243	8.21101	26.6303	10.0511	8.44169
DFFB	7.2293	5.60281	7.16731	7.73078	7.2738	7.65358	10.6855	9.03175	10.4049	10.057	10.5306	9.3362	11.4832	7.229	9.66171	11.7987	9.28038	9.70356
LOC100133612	0.121625	0.0620231	0.0577417	0	0.0601949	0.0300623	0.0313651	0.130328	0.0676125	0.0954782	0.0633608	0.0296107	0	0	0.0378222	0.0339359	0	0
LOC728716	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC284661	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AJAP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR4417	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KCNAB2	31.4983	33.7012	25.2465	20.0379	21.5771	26.8944	25.656	17.4474	25.45	27.7695	26.1126	30.114	7.59277	13.1872	14.9134	8.05396	13.0812	10.8971
RNF207	0.0138612	0.0280876	0	0	0.0410756	0	0.0143125	0.103504	0.0918461	0	0.0143994	0	0.25417	0.126512	0.170676	0.0459408	0	0.0135913
HES3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ESPN	0.015726	0	0	0.0147647	0	0	0	0.016784	0.0173803	0	0.0490262	0	0.288821	0.175532	0.0581576	0.278299	0.034461	0.0926223
TAS1R1	0	0	0.0275442	0	0	0	0.059868	0	0	0	0.0604496	0.0564613	0.0336857	0	0.0360622	0.064714	0	0
ZBTB48	7.40228	6.09656	8.38372	6.72069	5.53426	7.02113	8.43021	8.82028	9.83126	8.09583	8.6323	8.71819	8.84861	7.6585	8.7767	8.20524	8.39909	8.72299
PHF13	8.13077	7.53851	8.7142	8.5115	8.73311	8.89116	8.62852	9.33623	7.60032	9.61519	11.348	8.41825	7.59732	6.27455	5.92964	8.72261	6.46003	5.8468
THAP3	12.3743	12.5007	12.2056	13.1835	15.7489	11.4293	15.1368	15.3721	14.5009	14.3343	12.7561	13.4903	18.2525	14.0304	13.332	16.2686	13.682	17.4391
CAMTA1	103.13	104.643	98.3926	123.499	126.071	125.906	92.2124	96.5354	87.4154	102.91	98.1963	100.065	108.821	132.2	106.738	119.345	115.36	142.623
VAMP3	38.2204	44.2253	41.8624	29.6436	33.6525	32.9119	35.7507	32.9836	30.6521	28.6726	27.8418	26.3057	32.6308	36.6247	36.6938	27.5048	28.1726	32.6651
PER3	5.40932	8.02446	5.69017	5.60462	5.51062	5.06408	3.57582	4.72959	4.33024	4.69565	4.51827	4.57664	3.76257	3.1108	3.32505	3.56476	3.39029	2.33496
PARK7	614.927	620.636	646.345	674.243	676.568	608.355	638.622	650.702	635.321	610.693	609.829	578.566	820.161	715.55	735.738	843.148	726.324	883.303
SLC45A1	0	0.0244438	0.0227898	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENO1-AS1	3.96269	2.03093	3.11828	3.51769	3.21371	3.73589	1.62473	0.892025	1.90146	2.93342	1.71778	2.32313	1.43646	2.30172	1.84432	1.32135	2.61155	2.34221
CA6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H6PD	2.03299	2.16464	1.52679	1.48798	1.37563	2.18304	2.14222	1.354	1.30434	1.9482	2.00647	1.60239	2.02324	1.73921	2.07821	2.44573	1.89822	1.42269
SPSB1	1.0083	1.07809	0.818866	1.30182	1.03209	1.19133	0.613368	0.403799	0.497942	0.694505	0.804883	1.04328	0.476272	0.310816	0.533436	0.777756	0.533364	0.672547
SLC25A33	14.2238	14.0088	14.9204	17.4027	14.9933	15.2665	15.8536	16.3068	14.7937	14.8132	16.1501	12.9594	15.9556	19.2923	15.5741	16.8651	17.0292	17.1857
TMEM201	9.23787	8.92655	7.35406	5.93121	4.52844	7.21616	7.71369	6.38684	8.1451	7.28681	9.23901	9.70505	4.15306	3.72328	4.25803	5.26225	3.75518	1.98318
PIK3CD	25.0045	22.143	20.3708	16.8796	14.1477	21.6003	25.1543	14.6208	17.8371	21.5971	17.4051	18.6849	4.09507	7.43417	10.7947	4.49048	10.5336	7.00415
NMNAT1	4.99638	5.30061	4.89725	5.32155	6.33572	5.03358	4.38953	4.25536	4.3736	4.67051	4.20446	4.41998	5.31088	5.49786	5.2371	6.21678	5.08686	7.09396
RBP7	0	0.138147	0.251471	0.122997	0.260901	0.779473	0	0	0.150717	0	0.138094	0.135632	0.164941	0	0	0.309058	0.152657	0.273903
UBE4B	16.3232	15.9164	16.0593	15.9026	14.9401	14.6973	19.246	15.1424	17.5816	17.1985	18.571	18.0359	14.5303	13.4722	14.9737	15.8672	13.9227	10.2895
KIF1B	5.47833	5.60092	5.57029	5.2519	5.30825	5.14582	4.54018	5.19097	5.19569	5.5305	5.4685	5.72525	3.28164	3.79992	4.15599	3.52387	4.58922	2.59558
PGD	252.177	256.504	265.379	238.023	255.15	243.506	278.446	260.903	276.55	282.087	266.176	266.928	287.29	243.988	235.414	267.216	232.765	269.23
APITD1,APITD1-CORT,CORT	37.3709	34.4562	41.1846	38.4827	34.1855	36.491	38.7372	27.7688	31.2725	34.9776	29.508	31.3315	36.0217	47.0535	32.7806	38.8173	37.4945	47.0306
PEX14	3.0881	3.05566	3.16698	3.33702	2.56781	2.44264	3.21723	2.94544	3.26236	3.20046	2.92817	3.73024	2.90854	4.21901	2.53598	2.99939	2.83354	2.9062
TARDBP	108.649	111.701	112.872	125.238	118.223	108.645	121.548	129.32	121.681	120.132	123.679	125.004	122.357	115.464	128.415	124.85	136.002	139.843
MTOR-AS1	0	0	0	0.217892	0	0.115003	0	0	0.13287	0	0	0.119153	0	0	0.454228	0	0.13423	0
ANGPTL7	0	0.0529593	0	0	0.0771908	0.0514079	0	0	0.0288651	0	0	0	0.150583	0.0264768	0.0322645	0	0	0
UBIAD1	20.2485	18.3749	18.0562	19.3373	19.6749	20.7542	21.1722	17.4832	19.3421	22.305	17.5907	20.3205	17.3538	15.9144	16.6222	18.3829	16.451	17.6833
PTCHD2	0.0415318	0.0105052	0	0.029236	0.0512581	0.0307393	0.107233	0.0221308	0.0458012	0.0431902	0.0646765	0.0798076	0.0355935	0.0210361	0.0127576	0	0.0113407	0.0304788
FBXO44	1.97669	2.54328	2.12542	2.77459	2.01536	2.61836	1.89575	0.98777	1.48004	2.3036	1.86977	2.29416	0.31239	0.537412	0.271241	0.348344	0.637477	0.440956
FBXO6	13.9708	16.7147	16.0203	17.1122	21.1638	18.1699	14.3619	5.57491	10.1135	13.6626	7.20717	12.7936	2.71305	6.69346	5.49396	2.3303	7.49776	6.08325
DRAXIN	0.102015	0.17366	0.484614	0.319585	0.269398	0.168157	0.420834	0.109421	0.189314	0.106903	0.460883	0.265568	0	0.173522	0.0423926	0	0	0.0674999
AGTRAP	97.5334	81.2866	87.9231	105.268	109.503	96.4491	106.908	102.735	111.984	119.97	114.7	128.77	159.515	137.855	96.1021	152.613	119.513	129.597
CLCN6,NPPA-AS1	9.53642	10.5345	7.97926	6.47694	7.00111	6.54897	9.96587	9.50301	9.8764	7.90074	7.45574	7.23023	7.57597	6.28483	7.36389	6.7019	6.21767	4.12532
PLOD1	26.6582	24.0074	23.4488	24.9453	24.2013	23.0825	26.0045	22.4854	22.8001	26.9056	25.632	25.6643	26.7646	19.3066	23.8642	24.9702	22.819	22.8541
MFN2	26.6963	22.7045	26.1819	23.5802	20.3327	25.6654	28.7649	29.5069	29.0942	31.1892	32.7044	30.8748	26.3804	16.1017	21.9953	30.6821	24.4651	17.493
MIIP	22.7031	22.8076	19.0936	20.2065	24.8942	22.4524	25.6528	25.672	22.6336	21.2326	22.4836	22.284	26.0276	20.372	20.0958	24.0412	18.1124	18.6157
TNFRSF8	6.03639	4.58784	6.1131	4.94935	3.41232	5.4555	4.39422	1.88442	3.51467	3.59764	1.60705	3.09736	0.255626	0.700682	0.878094	0.217087	1.24134	1.04025
MIR4632,TNFRSF1B	28.6344	28.6286	32.1952	22.4991	20.8037	27.4672	21.4931	7.63481	15.4279	19.908	7.35598	14.7936	0.604811	3.60638	5.58679	0.93259	7.11038	5.42431
VPS13D	3.3189	3.70565	3.26736	3.05583	3.40405	3.00668	3.54924	3.54529	3.75558	3.24577	3.89854	3.67486	3.33867	3.46833	3.55269	2.8429	3.60639	1.80483
SNORA59A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADACL4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADACL3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C1orf158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRAMEF12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRAMEF1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRAMEF2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRAMEF7,PRAMEF8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRAMEF22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRAMEF5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRAMEF9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRAMEF16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRAMEF20,PRAMEF21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRAMEF9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRAMEF17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRAMEF20,PRAMEF21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PDPN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRDM2	7.63466	7.27346	6.89781	6.92294	6.23607	6.66598	6.7413	8.53131	7.18428	8.25859	8.24889	6.96848	7.46226	7.71766	8.55365	8.39568	8.47136	7.42463
KAZN	1.38522	1.06233	1.14222	1.43108	1.41282	1.31823	2.13566	2.85598	2.68686	2.67866	2.63582	2.5366	2.829	1.9443	1.98907	3.4187	2.57836	2.28011
TMEM51	7.96412	8.17533	8.31575	11.9173	13.0374	10.2692	7.50045	5.63556	6.41901	8.42298	6.35093	8.25683	1.5571	2.60269	2.41054	1.70391	4.08586	4.21658
FHAD1	0	0	0.0201552	0.00999568	0	0	0.0329953	0	0	0	0	0.0204678	0	0	0.0130873	0.0117423	0	0
EFHD2	48.5848	36.5024	40.2035	36.3917	24.6267	43.6031	50.948	35.8855	40.6092	50.1974	41.9317	45.2554	28.4211	31.5847	38.0504	34.7496	35.5182	28.3224
CTRC	0	0	0.0771492	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CELA2A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CELA2B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DNAJC16	4.71091	4.79065	4.21181	4.74782	3.98109	4.32261	4.24832	4.22966	4.4546	4.2939	4.28759	4.05937	3.78798	3.92082	4.78646	3.92112	4.06026	3.03548
DDI2,RSC1A1	9.26397	8.04117	8.95771	6.97834	7.41057	7.39577	12.3292	12.129	11.0987	10.436	10.2772	9.89198	15.1386	10.1196	13.0308	13.4439	10.5182	7.40883
PLEKHM2	11.2014	9.47119	9.96158	7.98958	7.35396	10.3209	10.37	8.28206	9.55881	10.204	10.0027	9.32177	6.5607	6.14474	5.8857	7.64915	6.86377	4.85667
SLC25A34	0.146452	0.260128	0.294882	0.120329	0.0361859	0.126554	0.0944875	0.175966	0.202534	0.229035	0.304518	0.194508	0.210593	0.2045	0.18082	0.162239	0.140618	0.125986
TMEM82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBLIM1	0	0	0	0	0	0	0	0	0	0	0.0212378	0	0	0.0207508	0.025245	0	0	0
SPEN	9.25355	9.47865	6.95134	10.3398	9.16346	6.84188	8.32149	9.71747	10.331	8.19457	10.5637	9.02756	11.6047	10.1731	11.4963	10.6216	10.815	11.4311
C1orf64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CLCNKA	0	0	0	0	0	0	0.0494854	0	0	0	0	0.0464964	0.0277137	0	0	0	0	0
CLCNKB	0.0268786	0	0.127481	0.0504217	0.0797199	0	0.166392	0.344881	0.179046	0.140394	0.167794	0.10437	0.497821	0.273486	0.633617	0.56783	0.207469	0.478096
SZRD1	22.7607	23.2188	22.3468	26.5016	31.607	25.8637	27.6182	24.9527	27.7217	25.5798	30.9668	27.7666	24.5665	24.7172	21.3807	24.6712	21.115	18.7152
NECAP2	42.1816	39.7106	39.352	25.1609	28.8515	25.5474	44.156	39.9357	41.9427	30.3323	28.7735	30.5016	49.2161	41.5696	43.1673	35.435	30.9128	30.8114
MIR3675	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MST1P2	0	0.0440094	0.246323	0.0203342	0.149853	0.0641662	0	0.0462899	0.0239863	0.20338	0.0675691	0.104801	0.0249777	0.0660317	0.0267869	0.0240343	0.0952207	0.106645
MIR3675	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CROCC	5.32372	3.3979	3.81851	2.84524	1.87333	2.84053	4.88432	3.78574	4.30605	4.32041	3.52179	4.40503	1.26564	0.976869	1.17418	1.50501	1.114	0.581484
PADI1	0.0143404	0	0	0	0	0	0	0.0152994	0	0	0	0.0138149	0	0.0290902	0	0	0	0.0140652
PADI3	1.68659	1.47959	1.64783	2.02904	2.18762	1.42263	1.94062	0.487758	1.06871	2.01438	0.365256	1.32299	0	0.267561	0.346906	0	0.501024	0.258972
PADI4	13.8299	10.1865	9.1529	18.1978	13.7573	14.1999	7.78365	5.10732	6.00763	11.9863	6.86468	8.89175	1.33659	2.66397	3.88241	1.97016	4.12858	5.54897
PADI6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARHGEF10L	0.0128516	0.013016	0.0730183	0	0.0507862	0	0	0	0.0141874	0.026756	0.0133489	0.0247412	0	0.0521307	0.047457	0	0.0843716	0.0251925
ACTL8	0.0642704	0	0.0915643	0.120793	0.0318157	0.127107	0.26516	0.206704	0.143014	0.235582	0.401904	0.187986	0.52369	0.294991	0.400154	0.251326	0.213312	0.318581
IGSF21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KLHDC7A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PAX7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MRTO4	55.2785	45.8634	53.4131	58.8415	55.3408	54.4517	67.8234	62.9295	63.4364	65.5138	59.5933	63.3797	79.5739	69.5839	56.6698	79.0284	61.3408	70.8361
PQLC2	11.0663	12.7104	14.4346	10.6933	10.7296	10.438	10.6191	10.9619	12.2406	12.4189	9.8845	10.3868	8.07021	6.20724	4.96936	6.78461	5.54382	5.80881
C1orf151-NBL1,MINOS1,NBL1	47.3687	47.737	48.2249	48.1916	46.7034	48.8022	43.4357	37.7004	37.3536	40.0553	38.227	35.927	39.8924	52.4096	38.8409	46.2479	41.4802	45.7659
HTR6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTUD3	1.90808	2.02865	1.89821	2.08399	1.90779	1.79336	1.68205	1.78703	2.12958	1.94016	1.9375	2.06737	1.71672	1.96491	1.88724	1.73857	1.91996	1.73604
PLA2G5	0	0	0	0	0	0	0	0	0.035022	0	0	0	0	0	0	0	0	0
PLA2G2F	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0212626	0	0	0	0
UBXN10	0	0	0	0	0	0	0	0.0607862	0.041982	0	0	0.0183298	1.11347	0.982608	0.702867	0.861875	0.499737	0.205214
VWA5B1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM43B	0.0443094	0.0675632	0	0.0416155	0.0438138	0.109436	0.0457293	0	0.0490985	0	0.046098	0.0429101	0	0	0	0	0	0.0218317
CDA	11.0451	16.6608	12.3266	5.40969	8.42774	4.89729	3.48486	0.95813	3.00017	3.12677	0.773166	1.84675	0	0.608802	0.188206	0	0.751661	1.49762
PINK1	18.2408	18.3846	17.4759	13.3868	13.8813	15.3303	13.9371	8.82115	11.4922	14.5406	8.60659	10.9547	7.12032	7.53897	9.01524	6.94689	7.75258	8.36071
LOC100506801	0.111157	0.0903986	0.0632378	0.104399	0.109914	0.0878526	0.0458872	0.190204	0.147809	0.232077	0.185073	0	0.153959	0.113023	0.165087	0.246872	0.122258	0.109541
NBPF3	1.27729	2.6108	2.06693	1.45923	2.96704	2.61147	1.57591	3.39007	2.25996	1.58899	2.76024	2.12927	4.94054	2.29814	1.85424	3.94624	2.26708	1.52018
ALPL	0.0750968	0	0.118734	0	0.0247579	0.0494722	0	0.0267809	0.0277674	0	0.0260534	0	0.0254135	0.0509484	0	0.343049	0.360364	0.108496
LDLRAD2	1.30894	0.898963	1.17747	0.743994	0.375539	1.00218	0.943915	0.301178	0.947177	0.811351	0.625038	1.0251	0.0380748	0.686821	0.589198	0.0357447	0.304477	0.219585
CELA3B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CELA3A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC00339	12.7537	18.803	18.1799	14.0757	19.1408	18.012	15.5767	16.4767	17.105	17.8887	18.7949	14.2187	17.371	19.6182	17.3305	19.9201	19.5976	20.9192
CDC42	34.7987	41.0326	45.2746	51.7928	54.5043	48.1444	43.6172	45.3878	43.2695	47.2115	49.0005	37.7565	65.5708	72.8105	53.7388	73.0176	56.9633	60.981
ZBTB40	5.07066	5.06964	4.64603	4.95787	3.72683	3.98986	4.95227	5.60227	5.70001	5.28201	5.37429	5.78326	5.32637	4.00775	4.73274	4.73529	4.50056	3.25787
EPHA8	0	0	0.0306756	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C1QA	0	0	0	0	0	0	0	0	0	0	0	0	0	0.189668	0	0	0.0691424	0.061982
C1QC	0	0	0	0	0	0	0	0	0	0	0	0	0	0.233008	0	0	0	0.0570061
C1QB	0	0	0	0	0	0	0	0	0	0	0	0	0	0.406028	0	0	0.0740972	0.332137
EPHB2	0.0223277	0	0	0.041915	0.0551188	0.0110179	0	0	0	0.0116164	0.0115918	0.0107319	0	0	0	0	0.0121992	0.0109288
MIR4684	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KDM1A	120.567	111.42	119.696	125.337	107.448	115.578	149.286	139.775	140.019	143.303	134.613	134.35	151.521	135.429	155.042	156.906	147.934	134.082
MIR3115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C1orf213	4.32928	3.77344	3.37233	3.18019	4.22467	2.82573	1.60303	2.62522	2.08717	4.22081	2.37364	2.79769	2.1984	2.21407	1.58473	1.88706	1.73792	3.03032
MDS2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RPL11	522.18	474.184	562.478	594.916	610.427	617.586	555.203	456.502	539.834	538.909	545.064	491.908	642.464	742.908	585.951	688.541	622.578	736.532
TCEB3	19.7674	19.3151	19.6407	17.8543	17.5099	16.6006	22.3667	22.501	19.7566	19.3113	17.5586	17.8513	24.6134	21.4383	23.0921	22.897	19.5562	20.9956
PITHD1	65.0132	64.1853	67.1593	61.6815	65.8347	58.4163	76.498	78.4446	74.0173	70.5504	68.1024	63.7034	96.2391	83.2972	79.1618	91.7393	74.4314	83.2
LYPLA2	32.0251	28.36	30.446	16.949	17.9013	16.4952	31.9312	29.3225	34.1983	22.875	19.2436	24.3281	27.222	23.5491	22.1056	20.6379	17.9205	15.722
