gene_id	sample_1	sample_2	status	value_1	value_2	log2_fold_change	test_stat	p_value	q_value	Gene Name
XLOC_000306	HSC_LacZ	HSC_shCTCF	OK	46.615	28.0632	-0.732115	-3.31938	0.00005	0.000514911	ZMPSTE24
XLOC_000332	HSC_LacZ	HSC_shCTCF	OK	25.3592	18.7631	-0.434611	-1.72991	0.00245	0.0146402	TIE1
XLOC_000341	HSC_LacZ	HSC_shCTCF	OK	32.0832	18.3854	-0.803254	-2.98624	0.00005	0.000514911	DPH2
XLOC_000430	HSC_LacZ	HSC_shCTCF	OK	15.5755	22.5797	0.535753	2.21146	0.00035	0.00286871	ALG6
XLOC_000455	HSC_LacZ	HSC_shCTCF	OK	2.63464	4.81147	0.868874	1.93958	0.0012	0.00810807	CTH
XLOC_000569	HSC_LacZ	HSC_shCTCF	OK	43.3695	27.6862	-0.647515	-2.70052	0.00005	0.000514911	AMPD2
XLOC_000575	HSC_LacZ	HSC_shCTCF	OK	57.8197	44.9745	-0.362455	-1.59558	0.0045	0.0241122	AHCYL1
XLOC_000605	HSC_LacZ	HSC_shCTCF	OK	8.15014	6.13055	-0.410809	-1.50201	0.00775	0.0374311	HIPK1
XLOC_000615	HSC_LacZ	HSC_shCTCF	OK	0.18555	0.602211	1.69846	2.74694	0.00005	0.000514911	PTGFRN
XLOC_000639	HSC_LacZ	HSC_shCTCF	OK	11.9565	7.28013	-0.715756	-2.24224	0.00165	0.0105626	LIX1L
XLOC_000727	HSC_LacZ	HSC_shCTCF	OK	0.660484	3.65345	2.46766	4.3536	0.00275	0.0161062	S100A9
XLOC_000734	HSC_LacZ	HSC_shCTCF	OK	6.37301	4.09241	-0.639024	-1.83847	0.0048	0.0254141	SLC27A3
XLOC_000740	HSC_LacZ	HSC_shCTCF	OK	14.0975	8.40789	-0.745625	-2.26071	0.0002	0.00176911	ATP8B2
XLOC_000771	HSC_LacZ	HSC_shCTCF	OK	20.3461	14.8666	-0.452674	-1.68211	0.00395	0.0216788	SEMA4A
XLOC_000772	HSC_LacZ	HSC_shCTCF	OK	21.06	14.621	-0.526462	-2.168	0.00075	0.00546525	SLC25A44
XLOC_000801	HSC_LacZ	HSC_shCTCF	OK	22.1846	34.4101	0.633272	2.58913	0.0006	0.00452841	FCER1A
XLOC_000833	HSC_LacZ	HSC_shCTCF	OK	0.271688	0.920774	1.76089	1.99348	0.001	0.00695847	FCGR2B
XLOC_000842	HSC_LacZ	HSC_shCTCF	OK	12.6308	7.09706	-0.831656	-3.29101	0.00005	0.000514911	UHMK1
XLOC_000867	HSC_LacZ	HSC_shCTCF	OK	8.08337	14.3831	0.831346	1.63049	0.0055	0.0283911	ATP1B1
XLOC_000888	HSC_LacZ	HSC_shCTCF	OK	216.667	166.639	-0.378749	-2.03973	0.00345	0.0194119	PRDX6
XLOC_000924	HSC_LacZ	HSC_shCTCF	OK	1.70309	2.77752	0.705642	1.47394	0.01085	0.0489453	NPL
XLOC_000929	HSC_LacZ	HSC_shCTCF	OK	0.622544	1.07934	0.793907	1.51879	0.00945	0.043872	RGL1
XLOC_000931	HSC_LacZ	HSC_shCTCF	OK	6.22833	8.14396	0.386885	1.56565	0.0082	0.0391689	C1orf21
XLOC_000938	HSC_LacZ	HSC_shCTCF	OK	20.0294	28.8449	0.526197	2.24048	0.00075	0.00546525	PLA2G4A
XLOC_000957	HSC_LacZ	HSC_shCTCF	OK	29.4003	37.4763	0.350146	1.59184	0.00875	0.0412558	NEK7
XLOC_001051	HSC_LacZ	HSC_shCTCF	OK	24.0152	9.15623	-1.39112	-5.52365	0.00005	0.000514911	KCTD3
XLOC_001065	HSC_LacZ	HSC_shCTCF	OK	6.14189	3.64673	-0.75208	-1.96305	0.0042	0.0227904	BROX
XLOC_001102	HSC_LacZ	HSC_shCTCF	OK	35.7242	48.3262	0.435903	1.97442	0.00515	0.0269207	ARV1
XLOC_001119	HSC_LacZ	HSC_shCTCF	OK	4.04665	2.49586	-0.697192	-1.69958	0.0109	0.049119	GPR137B
XLOC_001198	HSC_LacZ	HSC_shCTCF	OK	36.9439	26.452	-0.48196	-1.61367	0.0057	0.029222	CPSF3L
XLOC_001265	HSC_LacZ	HSC_shCTCF	OK	12.6217	9.43102	-0.420418	-1.74429	0.0025	0.0148857	MTOR
XLOC_001308	HSC_LacZ	HSC_shCTCF	OK	37.0819	24.5954	-0.592327	-2.44596	0.00005	0.000514911	ATP13A2
XLOC_001351	HSC_LacZ	HSC_shCTCF	OK	6.98543	3.23654	-1.1099	-2.72723	0.00045	0.00354882	ID3
XLOC_001363	HSC_LacZ	HSC_shCTCF	OK	16.6095	12.4148	-0.419949	-1.59419	0.00595	0.0302398	RUNX3
XLOC_001389	HSC_LacZ	HSC_shCTCF	OK	44.0561	69.8231	0.664363	2.06386	0.00035	0.00286871	IFI6
XLOC_001391	HSC_LacZ	HSC_shCTCF	OK	7.67057	5.02012	-0.611612	-2.20662	0.0002	0.00176911	EYA3
XLOC_001392	HSC_LacZ	HSC_shCTCF	OK	5.72371	10.8634	0.924453	3.04559	0.00005	0.000514911	PTAFR
XLOC_001422	HSC_LacZ	HSC_shCTCF	OK	158.745	105.593	-0.588199	-2.5226	0.00005	0.000514911	MARCKSL1
XLOC_001441	HSC_LacZ	HSC_shCTCF	OK	14.7673	11.0878	-0.413438	-1.66792	0.006	0.030441	KIAA0319L
XLOC_001447	HSC_LacZ	HSC_shCTCF	OK	24.9998	16.9517	-0.560483	-2.13597	0.00605	0.0306513	EVA1B
XLOC_001495	HSC_LacZ	HSC_shCTCF	OK	40.3346	27.932	-0.530101	-2.13294	0.0001	0.000961775	LEPRE1
XLOC_001501	HSC_LacZ	HSC_shCTCF	OK	26.3859	35.8554	0.442422	1.64935	0.0035	0.01964	MED8
XLOC_001511	HSC_LacZ	HSC_shCTCF	OK	19.7088	13.5451	-0.54107	-2.19789	0.0003	0.00251452	HECTD3
XLOC_001542	HSC_LacZ	HSC_shCTCF	OK	0.278645	0.782152	1.48902	1.93991	0.00245	0.0146402	TTC39A
XLOC_001564	HSC_LacZ	HSC_shCTCF	OK	8.04052	5.76861	-0.479064	-1.59573	0.01025	0.0467874	CYB5RL
XLOC_001569	HSC_LacZ	HSC_shCTCF	OK	316.596	241.306	-0.391779	-1.93715	0.00175	0.0110888	DHCR24
XLOC_001570	HSC_LacZ	HSC_shCTCF	OK	10.6495	8.22279	-0.373083	-1.57739	0.00685	0.0338919	USP24
XLOC_001641	HSC_LacZ	HSC_shCTCF	OK	4.59168	2.67909	-0.777278	-2.10661	0.00125	0.00838906	GBP1
XLOC_001693	HSC_LacZ	HSC_shCTCF	OK	19.3742	13.6791	-0.50216	-2.09684	0.0002	0.00176911	SORT1
XLOC_001705	HSC_LacZ	HSC_shCTCF	OK	2.31534	1.29325	-0.840226	-1.89373	0.00295	0.0170656	KCNA3
XLOC_001753	HSC_LacZ	HSC_shCTCF	OK	18.493	12.9224	-0.517106	-1.78633	0.00235	0.014152	NOTCH2
XLOC_001792	HSC_LacZ	HSC_shCTCF	OK	1.32229	3.83958	1.53791	3.37093	0.00005	0.000514911	HIST2H2BE
XLOC_001798	HSC_LacZ	HSC_shCTCF	OK	66.7067	47.977	-0.475488	-2.09606	0.00025	0.00214661	ANP32E
XLOC_001799	HSC_LacZ	HSC_shCTCF	OK	32.4145	42.6614	0.396291	1.52731	0.0082	0.0391689	APH1A
XLOC_001807	HSC_LacZ	HSC_shCTCF	OK	109.314	85.4377	-0.355534	-1.60742	0.00525	0.0273518	CERS2
XLOC_001900	HSC_LacZ	HSC_shCTCF	OK	15.0282	11.0596	-0.442371	-1.63657	0.004	0.0218972	ARHGEF2
XLOC_001905	HSC_LacZ	HSC_shCTCF	OK	33.255	25.5942	-0.377755	-1.69159	0.0051	0.0267111	SMG5
XLOC_001969	HSC_LacZ	HSC_shCTCF	OK	24.6243	12.4965	-0.97856	-3.81176	0.00005	0.000514911	ARHGAP30
XLOC_002009	HSC_LacZ	HSC_shCTCF	OK	6.0615	9.07397	0.582058	1.9901	0.00155	0.0100287	SLC19A2
XLOC_002012	HSC_LacZ	HSC_shCTCF	OK	175.328	137.328	-0.352429	-1.61767	0.00515	0.0269207	SELL
XLOC_002023	HSC_LacZ	HSC_shCTCF	OK	51.7477	70.5886	0.447939	1.77627	0.00165	0.0105626	PIGC
XLOC_002044	HSC_LacZ	HSC_shCTCF	OK	5.20625	3.44264	-0.596728	-1.75347	0.0028	0.0163446	KIAA0040
XLOC_002051	HSC_LacZ	HSC_shCTCF	OK	2.89059	4.51541	0.643494	1.75292	0.00555	0.0286027	LOC730102
XLOC_002060	HSC_LacZ	HSC_shCTCF	OK	12.2315	9.13075	-0.421797	-1.62759	0.00765	0.0370403	STX6
XLOC_002070	HSC_LacZ	HSC_shCTCF	OK	7.54562	12.4313	0.720266	2.16137	0.0003	0.00251452	NCF2
XLOC_002113	HSC_LacZ	HSC_shCTCF	OK	126.932	93.7573	-0.437049	-1.97878	0.0005	0.00387949	PTPN7
XLOC_002133	HSC_LacZ	HSC_shCTCF	OK	0.772263	0.415626	-0.893807	-1.72832	0.0057	0.029222	PLEKHA6
XLOC_002136	HSC_LacZ	HSC_shCTCF	OK	3.2217	4.44009	0.462765	1.55631	0.00955	0.0442416	PIK3C2B
XLOC_002210	HSC_LacZ	HSC_shCTCF	OK	12.5171	8.46229	-0.564784	-1.969	0.0005	0.00387949	TMEM63A
XLOC_002224	HSC_LacZ	HSC_shCTCF	OK	21.4343	15.116	-0.50385	-1.86857	0.00985	0.0453483	C1orf35
XLOC_002238	HSC_LacZ	HSC_shCTCF	OK	12.6388	7.4024	-0.771799	-2.64134	0.00005	0.000514911	C1orf198
XLOC_002248	HSC_LacZ	HSC_shCTCF	OK	0.457644	0.874036	0.933468	1.8213	0.00375	0.0207827	SIPA1L2
XLOC_002272	HSC_LacZ	HSC_shCTCF	OK	21.147	34.0128	0.685623	2.14272	0.00125	0.00838906	OPN3
XLOC_002284	HSC_LacZ	HSC_shCTCF	OK	29.2502	20.2888	-0.527767	-2.15931	0.00175	0.0110888	TFB2M
XLOC_002362	HSC_LacZ	HSC_shCTCF	OK	11.3489	15.1453	0.416317	1.53011	0.00855	0.0404992	STAM
XLOC_002404	HSC_LacZ	HSC_shCTCF	OK	45.4936	31.9445	-0.510093	-2.18667	0.00005	0.000514911	CCNY
XLOC_002467	HSC_LacZ	HSC_shCTCF	OK	26.2765	13.9001	-0.918679	-3.76208	0.00005	0.000514911	TFAM
XLOC_002471	HSC_LacZ	HSC_shCTCF	OK	152.962	193.452	0.338805	1.51965	0.0081	0.038792	CDK1
XLOC_002473	HSC_LacZ	HSC_shCTCF	OK	6.21069	10.3268	0.733575	2.8059	0.00005	0.000514911	ARID5B
XLOC_002500	HSC_LacZ	HSC_shCTCF	OK	21.5358	15.3746	-0.486188	-1.82371	0.00635	0.0318911	H2AFY2
XLOC_002542	HSC_LacZ	HSC_shCTCF	OK	24.449	13.1216	-0.897828	-2.85734	0.00005	0.000514911	TMEM254
XLOC_002577	HSC_LacZ	HSC_shCTCF	OK	10.9863	7.04693	-0.640636	-2.08423	0.0017	0.0108291	STAMBPL1
XLOC_002578	HSC_LacZ	HSC_shCTCF	OK	10.2215	15.8102	0.629242	1.70591	0.00805	0.0385983	FAS
XLOC_002600	HSC_LacZ	HSC_shCTCF	OK	34.8161	46.1918	0.407882	1.67241	0.0034	0.0191784	CEP55
XLOC_002630	HSC_LacZ	HSC_shCTCF	OK	28.9184	20.7715	-0.477383	-2.05088	0.0017	0.0108291	MARVELD1
XLOC_002649	HSC_LacZ	HSC_shCTCF	OK	15.2619	9.67852	-0.657075	-2.40309	0.00025	0.00214661	LZTS2
XLOC_002688	HSC_LacZ	HSC_shCTCF	OK	8.49816	12.336	0.537655	1.78034	0.0021	0.0128976	MXI1
XLOC_002733	HSC_LacZ	HSC_shCTCF	OK	4.13195	6.02775	0.544798	1.5859	0.0064	0.0320918	PLEKHA1
XLOC_002817	HSC_LacZ	HSC_shCTCF	OK	2.41602	3.90052	0.691032	1.76705	0.00635	0.0318911	CCDC3
XLOC_002852	HSC_LacZ	HSC_shCTCF	OK	19.097	12.3246	-0.631799	-2.34303	0.0005	0.00387949	PRTFDC1
XLOC_002876	HSC_LacZ	HSC_shCTCF	OK	27.332	38.0618	0.477752	2.19944	0.0001	0.000961775	KIF5B
XLOC_002894	HSC_LacZ	HSC_shCTCF	OK	1.39823	2.90928	1.05706	1.94169	0.0009	0.00636826	ZNF239
XLOC_002904	HSC_LacZ	HSC_shCTCF	OK	6.6074	9.42947	0.513093	1.63457	0.0045	0.0241122	ZFAND4
XLOC_002951	HSC_LacZ	HSC_shCTCF	OK	15.2834	10.8445	-0.495	-2.04474	0.00075	0.00546525	CCDC6
XLOC_002953	HSC_LacZ	HSC_shCTCF	OK	1.10166	1.91458	0.797347	2.13877	0.0004	0.00321384	ANK3
XLOC_003036	HSC_LacZ	HSC_shCTCF	OK	31.3535	45.3831	0.533527	1.99789	0.0045	0.0241122	ACTA2
XLOC_003087	HSC_LacZ	HSC_shCTCF	OK	17.6595	12.3141	-0.520134	-1.60554	0.006	0.030441	COX15
XLOC_003090	HSC_LacZ	HSC_shCTCF	OK	58.1263	32.8039	-0.825321	-3.50034	0.00005	0.000514911	ERLIN1
XLOC_003107	HSC_LacZ	HSC_shCTCF	OK	27.3551	21.4489	-0.35091	-1.48651	0.01025	0.0467874	MGEA5
XLOC_003118	HSC_LacZ	HSC_shCTCF	OK	70.5382	53.9855	-0.385834	-1.70547	0.00295	0.0170656	NT5C2
XLOC_003167	HSC_LacZ	HSC_shCTCF	OK	1.29489	2.60655	1.00931	2.19233	0.0001	0.000961775	FGFR2
XLOC_003169	HSC_LacZ	HSC_shCTCF	OK	77.0327	58.571	-0.395284	-1.57646	0.00625	0.0314774	NSMCE4A
XLOC_003204	HSC_LacZ	HSC_shCTCF	OK	12.7279	9.447	-0.43007	-1.45477	0.01095	0.0492929	ADAM8
XLOC_003265	HSC_LacZ	HSC_shCTCF	OK	15.0945	10.221	-0.562491	-1.8961	0.0006	0.00452841	MIR4687,STIM1
XLOC_003323	HSC_LacZ	HSC_shCTCF	OK	9.26564	12.9352	0.481335	1.85738	0.00085	0.0060702	IPO7
XLOC_003366	HSC_LacZ	HSC_shCTCF	OK	27.1915	20.5598	-0.403332	-1.54097	0.00775	0.0374311	PRMT3
XLOC_003384	HSC_LacZ	HSC_shCTCF	OK	52.8295	37.9295	-0.478022	-2.21109	0.00065	0.00484541	RCN1
XLOC_003404	HSC_LacZ	HSC_shCTCF	OK	5.63775	8.07831	0.518934	1.52241	0.0081	0.038792	LDLRAD3
XLOC_003420	HSC_LacZ	HSC_shCTCF	OK	111.463	83.3447	-0.419405	-1.79626	0.0018	0.01135	CD82
XLOC_003435	HSC_LacZ	HSC_shCTCF	OK	17.1218	12.9074	-0.407631	-1.63646	0.00465	0.0247685	ATG13
XLOC_003496	HSC_LacZ	HSC_shCTCF	OK	18.237	10.6266	-0.779193	-3.15641	0.00005	0.000514911	ZDHHC5
XLOC_003551	HSC_LacZ	HSC_shCTCF	OK	321.919	240.315	-0.421773	-2.14467	0.00065	0.00484541	FADS2
XLOC_003587	HSC_LacZ	HSC_shCTCF	OK	1.77692	1.07515	-0.724844	-1.67192	0.00475	0.0252001	PLCB3
XLOC_003594	HSC_LacZ	HSC_shCTCF	OK	9.46855	2.55534	-1.88963	-5.00674	0.00005	0.000514911	RPS6KA4
XLOC_003613	HSC_LacZ	HSC_shCTCF	OK	7.4324	12.6725	0.769795	2.72549	0.0001	0.000961775	NEAT1
XLOC_003615	HSC_LacZ	HSC_shCTCF	OK	169.758	220.975	0.380403	1.79401	0.00245	0.0146402	MALAT1
XLOC_003620	HSC_LacZ	HSC_shCTCF	OK	2.24045	1.36787	-0.711865	-1.79315	0.00295	0.0170656	EHBP1L1
XLOC_003621	HSC_LacZ	HSC_shCTCF	OK	5.17674	3.01627	-0.779278	-2.45482	0.00005	0.000514911	PCNXL3
XLOC_003623	HSC_LacZ	HSC_shCTCF	OK	21.4389	15.3399	-0.482937	-1.8256	0.0017	0.0108291	SIPA1
XLOC_003637	HSC_LacZ	HSC_shCTCF	OK	11.4298	7.43189	-0.621005	-2.29319	0.00015	0.00137554	PACS1
XLOC_003655	HSC_LacZ	HSC_shCTCF	OK	106.59	80.3044	-0.408519	-2.00599	0.00145	0.00948006	ADRBK1
XLOC_003660	HSC_LacZ	HSC_shCTCF	OK	58.0788	43.0363	-0.432459	-1.69407	0.0032	0.0182563	TBC1D10C
XLOC_003720	HSC_LacZ	HSC_shCTCF	OK	23.5937	17.526	-0.428904	-1.52775	0.0071	0.0348862	SERPINH1
XLOC_003722	HSC_LacZ	HSC_shCTCF	OK	2.45761	4.39944	0.840061	1.90154	0.0015	0.00975789	DGAT2
XLOC_003745	HSC_LacZ	HSC_shCTCF	OK	17.4425	31.3598	0.846305	3.60899	0.00005	0.000514911	PRSS23
XLOC_003780	HSC_LacZ	HSC_shCTCF	OK	5.08016	7.30268	0.52355	1.54654	0.0075	0.0364525	JRKL
XLOC_003798	HSC_LacZ	HSC_shCTCF	OK	0.201606	0.687318	1.76944	2.1798	0.0054	0.0279792	RAB39A
XLOC_003817	HSC_LacZ	HSC_shCTCF	OK	33.08	18.8481	-0.811543	-3.56303	0.00005	0.000514911	DLAT
XLOC_003850	HSC_LacZ	HSC_shCTCF	OK	72.0809	45.9399	-0.649868	-2.89761	0.00005	0.000514911	ARCN1
XLOC_003863	HSC_LacZ	HSC_shCTCF	OK	12.1805	8.52044	-0.515572	-1.75792	0.0027	0.0158596	NLRX1
XLOC_003868	HSC_LacZ	HSC_shCTCF	OK	37.8855	16.4683	-1.20196	-4.90086	0.00005	0.000514911	OAF
XLOC_003875	HSC_LacZ	HSC_shCTCF	OK	21.4168	13.692	-0.645413	-2.70602	0.00005	0.000514911	SC5DL
XLOC_003921	HSC_LacZ	HSC_shCTCF	OK	0.621872	1.24689	1.00364	1.87276	0.00415	0.0225664	ST14
XLOC_003951	HSC_LacZ	HSC_shCTCF	OK	15.1224	8.72146	-0.794048	-2.58549	0.00005	0.000514911	SLC25A22
XLOC_004008	HSC_LacZ	HSC_shCTCF	OK	7.45938	12.4829	0.742821	2.30278	0.0096	0.0444227	HBD
XLOC_004087	HSC_LacZ	HSC_shCTCF	OK	8.4213	12.3615	0.553734	1.81158	0.0082	0.0391689	CYP2R1
XLOC_004162	HSC_LacZ	HSC_shCTCF	OK	36.5276	26.0931	-0.485316	-2.16354	0.0009	0.00636826	ARHGAP1
XLOC_004176	HSC_LacZ	HSC_shCTCF	OK	34.9477	15.9126	-1.13503	-4.43665	0.00005	0.000514911	C1QTNF4
XLOC_004211	HSC_LacZ	HSC_shCTCF	OK	0.948646	2.73253	1.52629	1.87116	0.0026	0.0153776	PRG2
XLOC_004228	HSC_LacZ	HSC_shCTCF	OK	35.5631	56.3699	0.664545	2.60761	0.00005	0.000514911	LPXN
XLOC_004303	HSC_LacZ	HSC_shCTCF	OK	23.2077	13.5655	-0.774659	-2.64562	0.00005	0.000514911	RASGRP2
XLOC_004306	HSC_LacZ	HSC_shCTCF	OK	23.4976	15.0194	-0.645689	-2.61009	0.00005	0.000514911	MAP4K2
XLOC_004322	HSC_LacZ	HSC_shCTCF	OK	1.79053	3.02772	0.75784	1.52007	0.00945	0.043872	SLC25A45
XLOC_004326	HSC_LacZ	HSC_shCTCF	OK	15.1308	10.74	-0.494496	-1.90596	0.00205	0.0126363	MAP3K11
XLOC_004329	HSC_LacZ	HSC_shCTCF	OK	6.96811	4.01604	-0.794994	-2.79207	0.00005	0.000514911	AP5B1
XLOC_004358	HSC_LacZ	HSC_shCTCF	OK	9.77312	7.02655	-0.476003	-1.61478	0.00535	0.0277693	PITPNM1
XLOC_004370	HSC_LacZ	HSC_shCTCF	OK	13.0576	7.8901	-0.726774	-2.44898	0.0003	0.00251452	C11orf24
XLOC_004445	HSC_LacZ	HSC_shCTCF	OK	0.685321	1.43715	1.06836	1.93903	0.0003	0.00251452	SYTL2
XLOC_004517	HSC_LacZ	HSC_shCTCF	OK	20.2363	28.5667	0.49739	2.05585	0.00055	0.00420702	RDX
XLOC_004525	HSC_LacZ	HSC_shCTCF	OK	9.30793	15.7764	0.761239	2.18454	0.0003	0.00251452	FDXACB1
XLOC_004549	HSC_LacZ	HSC_shCTCF	OK	16.1107	12.1651	-0.405267	-1.58866	0.0105	0.0476911	PCSK7
XLOC_004557	HSC_LacZ	HSC_shCTCF	OK	106.089	175.689	0.727749	3.20411	0.00005	0.000514911	AMICA1
XLOC_004559	HSC_LacZ	HSC_shCTCF	OK	13.9443	20.3892	0.548123	1.67713	0.0038	0.0210103	MPZL2
XLOC_004569	HSC_LacZ	HSC_shCTCF	OK	22.815	16.0513	-0.507293	-2.03006	0.00055	0.00420702	HYOU1
XLOC_004608	HSC_LacZ	HSC_shCTCF	OK	2.63624	1.39337	-0.919904	-2.2056	0.0006	0.00452841	ROBO4
XLOC_004624	HSC_LacZ	HSC_shCTCF	OK	2.58588	1.42066	-0.864094	-1.91138	0.00125	0.00838906	C11orf45
XLOC_004684	HSC_LacZ	HSC_shCTCF	OK	45.598	29.5801	-0.624345	-2.58218	0.00005	0.000514911	USP5
XLOC_004688	HSC_LacZ	HSC_shCTCF	OK	4.72532	2.30139	-1.03791	-1.97074	0.00065	0.00484541	LRRC23
XLOC_004722	HSC_LacZ	HSC_shCTCF	OK	0.72968	1.55704	1.09347	1.46294	0.0096	0.0444227	CLEC12A
XLOC_004746	HSC_LacZ	HSC_shCTCF	OK	12.9579	8.60754	-0.590157	-2.09515	0.00085	0.0060702	EMP1
XLOC_004792	HSC_LacZ	HSC_shCTCF	OK	21.9273	16.5562	-0.405354	-1.56199	0.00625	0.0314774	DDX11
XLOC_004813	HSC_LacZ	HSC_shCTCF	OK	27.5791	19.1799	-0.52398	-1.85586	0.00325	0.0184887	SLC48A1
XLOC_004839	HSC_LacZ	HSC_shCTCF	OK	23.0751	16.9361	-0.446235	-1.73729	0.002	0.0123842	SMARCD1
XLOC_004844	HSC_LacZ	HSC_shCTCF	OK	13.2029	9.42331	-0.486545	-1.73149	0.0077	0.03723	ATF1
XLOC_004846	HSC_LacZ	HSC_shCTCF	OK	9.20495	14.275	0.633004	2.36971	0.00015	0.00137554	METTL7A
XLOC_004976	HSC_LacZ	HSC_shCTCF	OK	55.8051	42.2694	-0.400782	-1.61981	0.00495	0.026064	RAP1B
XLOC_004979	HSC_LacZ	HSC_shCTCF	OK	19.9496	28.4307	0.51109	2.30122	0.0001	0.000961775	MDM2
XLOC_005011	HSC_LacZ	HSC_shCTCF	OK	5.28254	9.16507	0.794914	1.6036	0.00705	0.034685	METTL25
XLOC_005078	HSC_LacZ	HSC_shCTCF	OK	3.79052	2.4599	-0.623796	-1.70056	0.00425	0.0230134	BTBD11
XLOC_005094	HSC_LacZ	HSC_shCTCF	OK	32.8546	23.0956	-0.508477	-2.25511	0.00055	0.00420702	ANKRD13A
XLOC_005096	HSC_LacZ	HSC_shCTCF	OK	15.5452	10.8384	-0.520314	-1.92035	0.00105	0.0072473	ATP2A2
XLOC_005109	HSC_LacZ	HSC_shCTCF	OK	39.0629	25.7383	-0.601885	-2.39795	0.00005	0.000514911	TRAFD1
XLOC_005113	HSC_LacZ	HSC_shCTCF	OK	26.0868	19.7937	-0.39828	-1.72465	0.004	0.0218972	OAS3
XLOC_005140	HSC_LacZ	HSC_shCTCF	OK	65.6214	49.2585	-0.413794	-1.96546	0.00195	0.0121317	RNF10
XLOC_005160	HSC_LacZ	HSC_shCTCF	OK	94.8414	65.4245	-0.535687	-2.62007	0.00005	0.000514911	DENR
XLOC_005162	HSC_LacZ	HSC_shCTCF	OK	5.05746	3.29771	-0.616946	-1.88913	0.0023	0.0138998	HIP1R
XLOC_005202	HSC_LacZ	HSC_shCTCF	OK	3.94956	2.25448	-0.808895	-2.28086	0.00015	0.00137554	FBRSL1
XLOC_005205	HSC_LacZ	HSC_shCTCF	OK	33.1431	18.0184	-0.87924	-3.31452	0.00005	0.000514911	PGAM5
XLOC_005241	HSC_LacZ	HSC_shCTCF	OK	6.99163	3.92443	-0.833145	-2.20664	0.00035	0.00286871	IFFO1
XLOC_005262	HSC_LacZ	HSC_shCTCF	OK	0.963309	6.51871	2.75851	5.48802	0.00005	0.000514911	GDF3
XLOC_005265	HSC_LacZ	HSC_shCTCF	OK	15.0335	20.7301	0.463547	1.92784	0.0017	0.0108291	SLC2A3
XLOC_005266	HSC_LacZ	HSC_shCTCF	OK	1.23558	2.42289	0.971541	1.96248	0.005	0.0262781	C3AR1
XLOC_005338	HSC_LacZ	HSC_shCTCF	OK	3.71765	6.27481	0.755182	2.36652	0.00025	0.00214661	EPS8
XLOC_005391	HSC_LacZ	HSC_shCTCF	OK	6.69361	3.60715	-0.891926	-2.42562	0.00005	0.000514911	TWF1
XLOC_005402	HSC_LacZ	HSC_shCTCF	OK	2.19299	4.62104	1.07532	2.58805	0.00005	0.000514911	AMIGO2
XLOC_005502	HSC_LacZ	HSC_shCTCF	OK	42.5126	33.4613	-0.345398	-1.59194	0.0082	0.0391689	ITGA5
XLOC_005512	HSC_LacZ	HSC_shCTCF	OK	387.503	489.185	0.336175	1.49182	0.00875	0.0412558	CD63
XLOC_005518	HSC_LacZ	HSC_shCTCF	OK	33.0891	22.7507	-0.540444	-2.33944	0.00005	0.000514911	SMARCC2
XLOC_005525	HSC_LacZ	HSC_shCTCF	OK	59.9245	33.3681	-0.844677	-3.96279	0.00005	0.000514911	TIMELESS
