Genes	B	CD4	CD8	CLP	CMP	Ery	GMP-A	GMP-B	GMP-C	HSC	LMPP	MEP	Mono	MPP	NK	pDC
AL590822.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C1orf86	68	146	139	8	207	6	42	168	242	135	83	175	96	353	110	151
AL590822.1	2	0	0	0	4	0	0	0	0	2	0	0	0	9	1	0
SKI	1462	4134	1963	54	2656	416	1218	869	1988	1952	635	3236	3888	2662	1772	572
AL589739.1	1	2	0	1	0	0	14	0	0	0	0	1	0	2	0	0
MORN1	88	68	80	59	128	19	49	52	42	245	70	146	25	269	39	125
RER1	1458	2945	2229	1775	3475	1125	1488	1108	3302	2287	1712	4014	3957	3345	2342	1825
PEX10	72	74	41	32	218	1	6	118	16	106	89	191	73	202	28	31
PLCH2	15	97	36	0	5	0	0	0	33	6	1	9	8	8	74	5
PANK4	135	410	229	94	255	54	13	45	124	135	204	340	408	294	242	294
HES5	0	0	0	0	0	0	0	7	0	0	0	8	0	0	0	0
TNFRSF14	541	804	506	31	246	3	49	108	12	387	50	221	845	644	382	113
FAM213B	123	533	338	79	997	156	48	186	135	400	252	1930	296	711	184	524
MMEL1	0	4	3	0	2	0	0	0	0	1	1	6	2	1	1	0
TTC34	132	227	158	157	55	0	0	11	0	93	41	78	44	328	136	4
ACTRT2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRDM16	0	0	0	0	436	0	30	0	0	1463	128	7	4	2622	14	0
ARHGEF16	1	1	0	0	5	0	0	0	0	5	2	2	0	2	0	57
MEGF6	112	145	51	17	248	0	121	79	6	219	264	143	45	296	4	29
TPRG1L	1515	4502	3173	370	1647	1777	134	196	738	2108	814	2758	2407	2395	2533	523
TP73	54	30	13	0	8	3	22	0	16	47	21	14	14	38	3	10
WRAP73	242	139	99	17	189	17	20	50	103	104	98	287	199	185	204	61
CCDC27	8	8	2	1	6	2	0	0	0	17	4	36	0	8	0	0
SMIM1	4	1	3	0	46	25	0	0	0	32	3	168	3	25	1	0
LRRC47	652	1393	1148	1223	2219	636	1074	1298	2291	1462	1104	3848	1709	2089	1320	2418
CEP104	3013	3301	2166	1392	2795	1111	586	405	631	2457	1540	4167	3345	3079	2910	1894
DFFB	349	673	411	150	807	22	24	84	87	408	294	1158	414	549	438	65
C1orf174	434	966	762	391	1790	272	83	202	939	687	730	2810	1357	1210	1769	391
AJAP1	0	43	12	0	0	0	0	0	0	0	26	0	0	0	1	163
KCNAB2	822	1774	1159	247	5623	0	3947	4334	7653	3340	4307	1851	5888	4813	2176	4300
NPHP4	201	230	138	41	222	12	60	350	245	153	156	376	334	179	99	160
AL035406.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CHD5	6	0	3	1	9	0	199	7	101	5	54	65	6	5	2	11
RNF207	5	36	29	1	7	4	0	0	0	3	7	42	30	15	7	0
RPL22	36636	84388	53730	32659	82273	7899	8525	8620	14163	67226	38629	70217	24260	79025	17598	14657
ICMT	1521	2073	1727	1881	7307	2478	1822	2103	3568	3470	3801	9539	3992	3600	2655	5574
HES3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GPR153	1	1	20	0	63	0	0	207	238	2	5	6	18	0	160	32
ACOT7	71	426	306	82	2811	82	1696	1776	3957	946	1083	3537	227	1154	479	3970
HES2	0	2	0	0	1	0	0	1	0	0	0	4	1	2	2	0
ESPN	0	6	3	0	0	34	0	0	0	0	0	72	0	1	0	0
TNFRSF25	0	475	127	0	10	13	0	0	0	5	0	259	3	1	20	1
PLEKHG5	0	100	23	0	8	1	0	0	0	15	12	1	0	2	3	0
NOL9	3149	6362	3823	4043	5933	1440	1008	1132	1157	3692	2934	6408	2260	3936	2787	1583
TAS1R1	0	10	0	0	9	0	0	0	0	0	0	9	53	0	2	9
ZBTB48	247	475	266	132	1071	6	243	531	1137	413	336	659	1036	658	193	725
PHF13	204	301	193	375	450	705	7	49	231	276	164	578	230	249	259	596
KLHL21	262	1028	672	60	838	179	201	289	1269	467	364	1625	1505	880	513	1950
THAP3	21	143	53	4	41	11	9	0	42	47	24	153	78	58	59	41
DNAJC11	532	947	702	492	2129	466	1274	711	1914	1357	1109	3250	1315	1498	654	807
CAMTA1	1699	2456	1198	1245	2692	644	552	732	1927	1770	1564	1867	1603	2201	1368	804
VAMP3	3038	5148	3700	2648	10692	2313	1436	1686	4323	8614	4343	9100	27163	8356	5996	3125
PER3	361	1568	1116	242	1395	45	69	143	1352	1708	920	1059	1160	1622	1748	214
UTS2	173	383	495	1	201	1	22	0	0	69	32	60	470	32	1063	0
TNFRSF9	0	45	213	0	5	0	0	1	0	1	0	0	111	1	69	0
PARK7	2979	5877	4703	4907	11216	1917	3967	4027	8011	5763	6601	10857	7610	7129	5691	10151
ERRFI1	80	407	719	38	42	1	4	7	0	71	63	10	89	163	543	1
SLC45A1	0	5	3	0	1	0	0	0	0	4	1	0	2	27	5	0
RERE	8038	9034	3939	4566	7264	759	3877	4028	6915	10833	5921	7288	8552	11765	2808	8848
ENO1	4751	8590	6493	3419	38971	61	5380	5257	9517	23694	20963	27970	22901	36386	5023	2984
CA6	0	330	575	4	5	0	0	0	0	0	2	0	1	0	0	1
SLC2A7	0	0	5	1	1	0	0	0	0	1	0	0	0	0	0	0
SLC2A5	641	5	0	1363	1575	0	1140	1192	1007	1560	2877	360	92	1539	1	98
GPR157	50	227	106	34	105	0	30	2	8	121	28	106	101	137	38	65
H6PD	1577	2310	1388	562	4579	2	1188	1343	1509	3293	1920	5296	5627	3650	2341	2103
SPSB1	32	159	61	123	19	0	1	2	1	17	89	14	55	20	38	39
SLC25A33	428	448	285	260	1524	77	83	172	317	843	403	1348	461	954	343	136
TMEM201	97	171	109	111	1739	43	757	863	1017	841	972	1991	234	1545	105	509
PIK3CD	3397	5632	3467	2144	2886	0	1290	962	2391	1888	2288	1518	6200	2728	3300	4493
C1orf200	60	196	126	148	44	0	25	34	210	19	60	16	234	52	119	157
CLSTN1	4482	9403	5209	3003	8325	15	3035	3009	6787	6679	4575	4736	5591	8806	5594	5229
CTNNBIP1	150	299	203	355	1134	11	255	221	377	600	752	977	1039	1176	673	430
LZIC	1849	4134	3089	2879	4909	1549	872	1054	1961	4064	2734	4781	4054	4164	2844	2412
NMNAT1	248	378	243	477	436	9	65	14	61	423	328	428	849	338	409	119
RBP7	0	10	12	4	8	1	0	0	0	1	0	18	8363	20	7	0
UBE4B	4781	7963	5811	4977	16272	5997	3488	3422	4970	11829	7889	16413	11199	14521	6099	7812
KIF1B	2093	3904	2112	2196	4527	177	819	905	1634	4913	3519	4169	12814	4735	3237	1203
PGD	1147	2803	2239	1438	23309	213	3405	4256	8496	12567	8868	24278	57415	16162	1443	4661
APITD1	127	79	61	106	278	149	12	25	87	120	171	219	18	143	12	83
APITD1-CORT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CORT	6	3	0	2	3	3	13	0	0	10	1	3	0	0	0	0
PEX14	557	321	288	49	565	31	43	74	647	352	297	746	588	607	322	165
DFFA	1365	2179	1810	1189	3000	200	1011	770	2347	2621	1875	3820	1832	3344	2019	1696
CASZ1	412	158	158	54	200	20	20	25	57	168	81	92	135	191	370	161
C1orf127	2	0	0	0	0	0	0	0	0	1	0	1	4	0	0	0
TARDBP	14345	14810	12075	22227	27744	9781	5283	6362	10635	17096	16885	33985	15705	19637	15409	7713
MASP2	1716	2019	1607	1094	1262	546	233	202	621	1277	575	1094	966	1293	945	977
SRM	2660	2390	2040	426	13115	17	15170	16872	27111	4325	5513	17349	3993	7935	1077	2799
EXOSC10	3024	4638	3340	3914	8269	2599	2283	2456	5820	4622	4333	12100	5218	6198	3821	3741
ANGPTL7	139	183	91	98	191	67	16	7	14	65	113	94	162	95	171	0
MTOR	5385	7320	4745	4137	10659	2664	2543	3057	4573	5043	5104	11408	7676	7186	5968	3599
UBIAD1	1569	2405	1621	522	3293	335	838	1170	2424	2013	1887	3725	1353	2894	1312	1628
PTCHD2	175	7	1	1	3	0	0	2	0	1	2	1	0	4	3	0
FBXO44	77	371	168	25	67	0	2	34	79	128	41	42	61	139	149	81
FBXO2	22	82	58	0	0	0	0	0	0	0	0	0	0	0	62	0
FBXO6	17	128	86	21	121	2	12	13	7	105	74	120	547	156	339	28
MAD2L2	222	581	450	989	1415	142	296	326	1112	424	712	1542	926	933	667	809
DRAXIN	2	1	15	130	8	0	52	4	0	12	2	5	13	6	590	1
AGTRAP	206	319	253	5	577	2	258	452	386	281	401	522	3978	411	461	14
C1orf167	0	0	0	0	1	0	0	0	0	0	0	4	3	0	0	0
CLCN6	3041	758	533	604	1636	194	249	651	1093	1188	906	2035	2486	2323	795	876
MTHFR	1387	1399	822	600	1004	325	95	142	134	826	440	2696	2227	1173	1571	669
NPPA	16	13	12	2	9	0	0	0	0	25	2	2	24	15	14	0
NPPB	0	3	0	0	0	0	0	0	0	0	0	0	0	2	0	0
KIAA2013	939	603	399	324	1810	132	576	730	897	686	842	2402	2639	1128	1052	3064
PLOD1	77	112	167	23	1457	48	716	635	759	1143	609	2658	5755	1289	1601	350
MFN2	2782	3918	2754	2469	5378	7141	2993	4414	3233	3036	2669	9095	8101	4440	4649	4027
MIIP	48	77	47	8	203	6	45	68	45	93	82	287	420	156	61	112
TNFRSF8	1	2	0	1	20	0	0	0	0	10	25	7	425	13	2	12
TNFRSF1B	1746	3775	1844	113	179	132	856	1603	5261	586	882	308	51535	744	6479	2973
VPS13D	17568	20107	14030	5845	11346	2727	1798	1951	4416	11532	6895	13023	16274	11108	12613	6098
DHRS3	2	1967	901	7	1188	103	53	327	442	2	242	3025	27	121	2283	299
AADACL4	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
AADACL3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C1orf158	0	0	1	0	2	0	0	0	0	0	0	0	1	0	0	0
PRAMEF12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRAMEF1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRAMEF11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HNRNPCL1	0	1	2	0	2	0	0	2	9	1	0	5	0	4	1	3
PRAMEF2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRAMEF4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRAMEF10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRAMEF7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRAMEF22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WI2-3308P17.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRAMEF6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRAMEF26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRAMEF3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRAMEF5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRAMEF8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRAMEF9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRAMEF13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRAMEF18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRAMEF16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRAMEF21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRAMEF15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRAMEF14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRAMEF19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRAMEF17	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRAMEF20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LRRC38	1	0	0	6	1	0	0	0	0	0	58	0	0	1	3	37
PDPN	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
PRDM2	62883	39942	32078	21486	16735	4724	5589	3984	8204	17959	10811	15109	33296	19243	38754	22221
KAZN	7	3	1	10	497	0	36	58	203	124	57	579	1	115	23	0
TMEM51	0	0	0	14	14	0	1	18	184	35	25	7	148	10	0	0
C1orf195	0	0	0	0	1	0	5	0	0	1	0	0	27	1	0	0
FHAD1	1	0	13	1	2	0	1	0	1	2	0	0	32	5	117	0
EFHD2	1042	1254	2431	635	3697	73	2797	2943	6034	1000	2541	3190	22238	2445	15992	3789
CTRC	1	0	11	2	2	0	0	2	0	13	4	2	29	0	34	15
CELA2A	0	3	2	0	0	1	0	0	0	1	0	0	1	0	1	0
CELA2B	6	11	4	3	3	0	0	0	0	9	2	6	15	7	21	12
CASP9	262	355	388	107	524	52	62	208	148	509	240	531	836	665	405	185
DNAJC16	4960	5759	3887	2796	4637	1393	339	511	603	3846	2488	4308	3518	3717	3949	843
AGMAT	219	1134	478	39	93	2	17	58	29	63	47	337	22	32	31	6
DDI2	6155	6334	5513	3326	6428	31004	789	741	3286	3702	3630	34732	5894	4224	5492	2463
RSC1A1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PLEKHM2	827	1028	320	77	1359	87	751	794	2596	914	651	2041	2074	1255	397	1276
SLC25A34	14	30	11	2	16	0	23	6	92	22	8	73	51	19	2	26
TMEM82	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
FBLIM1	9	2	0	8	5	0	0	2	0	3	0	0	7	2	0	0
SPEN	17407	22515	13597	9216	21894	5880	8566	6629	15827	18450	12553	26387	32160	21363	19738	18901
ZBTB17	146	186	61	18	446	25	47	12	103	235	201	470	342	472	106	158
C1orf64	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0
CLCNKA	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
HSPB7	1	1	1	0	11	0	0	0	0	3	2	4	1	8	0	0
CLCNKB	0	0	0	0	2	0	0	0	0	0	1	6	0	1	0	5
FAM131C	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
EPHA2	0	1	0	0	0	0	0	0	0	1	0	0	1	2	0	250
ARHGEF19	28	77	24	3	193	1	1	1	2	94	52	161	51	90	33	20
C1orf134	11	15	19	13	12	2	0	29	0	5	1	15	3	2	11	5
RSG1	3	36	64	3	7	3	20	6	0	23	31	70	27	51	35	21
FBXO42	3584	3747	3403	2288	4873	1553	552	634	2570	2913	2244	4026	4088	3351	2744	1065
SZRD1	3145	3438	3449	838	5558	212	2798	2347	4756	4161	1912	5012	6246	5661	3140	3132
SPATA21	177	177	62	59	44	8	7	36	5	73	17	59	113	88	118	2
NECAP2	2272	7102	3228	810	1961	454	614	955	3043	1450	1146	4808	5199	2258	2065	807
NBPF1	2267	2244	1896	330	1739	94	113	300	670	2047	1227	1508	1439	2082	1524	538
CROCC	52	109	48	17	156	6	24	78	65	141	89	68	79	236	102	205
MFAP2	0	13	9	4	38	0	0	1	0	259	25	5	2	177	4	0
ATP13A2	139	377	280	54	1071	2	154	501	104	658	515	1257	823	937	282	831
SDHB	1275	2157	1642	1937	3307	1128	539	604	668	1565	1686	3678	4455	2545	1626	1015
PADI2	5	3	6	13	983	5	443	392	1450	33	392	156	19134	132	169	72
PADI1	0	0	0	0	0	0	0	0	9	0	0	1	10	0	0	0
PADI3	0	0	0	0	11	0	0	0	0	2	46	0	1	5	0	0
PADI4	3	75	127	11	332	0	11	3	54	408	208	33	6023	514	19	11
AC004824.2	0	0	0	0	0	0	2	0	6	6	0	0	27	0	0	0
RCC2	2362	1746	2023	3744	20390	1204	4387	4826	9570	8474	7984	22009	8950	14109	2691	10333
ARHGEF10L	17	1	0	0	0	0	0	0	0	3	1	0	1044	0	2	17
ACTL8	0	0	0	1	11	0	0	0	0	0	0	6	0	0	0	0
IGSF21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KLHDC7A	0	0	0	1	2	0	0	0	0	1	0	0	0	4	0	0
PAX7	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0
TAS1R2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ALDH4A1	5	14	42	6	437	4	280	559	388	50	85	597	103	72	15	197
RP13-279N23.2	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0
IFFO2	768	3194	2049	197	2422	1	1658	1763	2582	1726	1430	1702	1756	2078	3247	3852
UBR4	17591	27792	19729	12948	51339	20500	7244	7347	11583	28284	16662	65517	34313	34936	19351	11488
MRTO4	186	309	220	249	1387	66	321	378	972	338	575	1752	248	602	156	111
EMC1	3907	5132	4068	2676	7647	1107	1625	1617	2998	4694	3487	8682	7059	7062	4647	2910
AKR7A3	3	13	4	3	9	1	0	0	2	10	12	9	9	14	30	5
AKR7A2	189	452	318	151	1353	53	245	324	496	1017	725	1263	873	992	259	442
PQLC2	73	182	53	16	137	15	78	19	962	121	106	64	288	207	105	672
CAPZB	6335	14386	10724	3497	10200	513	1349	1673	2795	8342	4923	8295	18766	9977	10037	3730
MINOS1-NBL1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0
MINOS1	862	1604	1091	761	1166	429	150	182	445	530	690	1310	1028	733	1035	524
NBL1	0	85	114	0	299	0	44	126	0	464	215	335	1	613	6	22
HTR6	9	31	5	0	9	0	1	1	0	14	8	3	20	8	16	17
TMCO4	701	555	298	210	385	1	58	54	43	555	230	600	456	499	308	95
RNF186	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
OTUD3	1018	1439	1095	1211	1349	456	202	167	374	1101	902	996	309	1125	705	467
PLA2G2E	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
PLA2G2A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PLA2G5	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PLA2G2D	43	0	0	0	0	0	0	0	0	0	0	0	0	0	1	10
PLA2G2F	0	1	0	0	0	0	0	0	0	0	0	0	10	0	0	1
PLA2G2C	0	2	4	0	0	0	0	0	0	0	0	2	3	0	3	0
UBXN10	31	95	130	0	43	322	1	0	0	60	18	3563	120	18	313	0
VWA5B1	0	12	0	0	1	0	0	0	0	0	0	0	0	0	0	0
CAMK2N1	56	659	795	0	0	4	0	0	0	0	0	0	0	0	362	0
MUL1	563	529	529	181	935	93	144	63	286	750	394	1259	1099	1321	403	417
FAM43B	0	0	0	0	1	0	1	0	0	0	0	18	0	0	0	0
CDA	0	0	2	0	42	0	30	20	0	147	14	38	13527	68	32	0
PINK1	150	381	228	105	187	75	30	105	22	220	95	153	309	169	208	37
DDOST	1536	3167	2467	938	9487	224	2159	2984	4968	3531	2911	7201	5522	5447	2265	4585
KIF17	3	0	0	0	41	0	2	53	562	0	78	0	5	100	0	687
SH2D5	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
HP1BP3	15781	26198	19225	16336	26371	13568	4367	5386	11183	17245	12884	27792	18822	20662	14634	18768
EIF4G3	14513	5480	5872	11125	32350	1210	6122	6818	11177	19064	10605	31985	19976	23978	17020	14764
ECE1	2159	3724	1555	17	305	354	35	4	1	89	31	2727	6983	139	910	146
NBPF3	324	946	934	53	661	122	80	29	2	409	391	615	343	491	1171	1
ALPL	47	0	0	1	14	2	0	1	0	1	1	2	2	0	14	0
RAP1GAP	0	6	4	0	1	162	0	0	0	2	0	100	1	11	1	0
USP48	9077	11264	8450	11304	22972	8729	4109	4001	6734	10871	10332	26440	15885	13127	9256	10171
LDLRAD2	0	4	1	1	92	0	11	6	65	20	152	24	6	76	11	48
HSPG2	6	204	43	7	2904	9	691	1060	5983	1296	1132	5237	25	2185	11	678
CELA3B	0	1	0	0	0	0	0	0	0	1	0	0	2	0	0	0
CELA3A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDC42	15637	24251	18333	15146	19566	13396	4282	5555	15261	13508	9823	19253	32704	15581	30673	10257
WNT4	181	310	233	73	92	57	0	0	0	102	98	48	116	102	212	52
ZBTB40	2179	3315	2247	1250	3146	598	420	330	317	2403	1360	3661	2131	2841	2162	808
EPHA8	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
C1QA	0	0	0	4	0	0	0	0	0	0	0	0	40	0	0	0
C1QC	0	0	0	2	0	0	0	0	0	0	0	0	57	0	0	0
C1QB	0	0	0	1	0	0	0	0	0	0	0	0	50	0	0	0
EPHB2	1	1	1	0	4	0	0	0	0	0	6	1	1575	1	0	0
LACTBL1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C1orf234	0	3	1	0	4	2	0	0	0	0	0	0	0	11	0	0
KDM1A	4844	6741	5400	11574	24345	3078	3513	3381	5093	13721	10909	30901	6815	15902	5171	5980
LUZP1	1347	4331	3167	3313	7699	202	2101	1998	3034	6970	5425	6557	4760	9011	4353	4251
HTR1D	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	5
HNRNPR	12782	16990	12976	15083	36833	6615	5382	6558	9623	18503	15799	39887	16147	24739	12550	19859
C1orf213	5	53	8	14	36	21	4	11	0	37	36	17	62	44	10	11
ZNF436	339	569	477	396	686	204	11	49	107	863	604	1008	355	905	932	29
TCEA3	1	2973	1296	15	49	0	0	7	0	115	0	19	16	43	20	0
ASAP3	9	11	15	4	3	1	0	0	0	19	0	19	9	20	1	1
E2F2	516	223	114	7382	721	14809	486	562	2191	397	576	679	410	208	106	7896
ID3	44	54	6	72	0	0	42	11	20	0	0	1	15	2	0	18
MDS2	71	537	173	27	0	0	0	0	0	1	0	0	1	0	1	0
RPL11	65681	182479	100756	28401	154467	6903	37707	35775	65866	127800	76570	128430	72342	150753	25739	50728
TCEB3	3343	1872	1479	2300	3669	820	506	409	342	2630	1839	3505	4923	3202	1674	4078
PITHD1	1729	3701	2486	1462	4379	10239	352	681	684	2663	1677	5784	1876	2488	2186	1998
LYPLA2	158	605	523	46	853	5	133	519	100	396	346	1117	1160	792	388	289
GALE	86	109	42	6	237	9	2	31	152	137	157	544	241	244	72	53
HMGCL	199	407	398	267	592	103	18	53	7	384	242	833	532	440	440	153
FUCA1	630	718	710	539	1634	1068	54	227	1083	1233	1097	1692	6797	1345	1293	703
CNR2	6431	22	386	512	104	3	0	0	7	37	27	119	12	70	1109	26
PNRC2	451	574	497	637	923	436	36	30	73	969	418	929	530	1110	434	52
SRSF10	385	509	383	636	825	448	138	113	385	472	443	1036	436	758	381	519
MYOM3	1	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0
IL22RA1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
IFNLR1	1146	115	146	35	1	1	0	0	6	9	0	0	0	2	29	1117
GRHL3	2	1	0	1	9	17	0	0	0	1	0	41	5	1	0	0
NIPAL3	2073	8092	5868	1301	3926	1835	628	494	1360	3555	2553	4481	1122	3837	4369	2529
STPG1	245	567	506	192	527	792	155	146	95	459	471	658	116	706	150	260
RCAN3	7678	64352	36830	821	3151	10	797	852	4666	2409	1805	1907	3849	2498	201	4043
