feature,p_val,avg_logFC,pct.1,pct.2,p_val_adj,avg_log2FC
RPS24,1.85E-64,-0.062005684,1,1,6.24E-60,-0.062005684
HLA-DMA,9.48E-59,-0.061932129,0.545,0.684,3.19E-54,-0.061932129
PAIP2,6.37E-67,-0.061929527,0.605,0.751,2.15E-62,-0.061929527
LSM6,6.49E-45,-0.061222571,0.618,0.741,2.19E-40,-0.061222571
BLOC1S1,1.44E-54,-0.0610564,0.661,0.79,4.86E-50,-0.0610564
DUSP6,4.68E-55,-0.061005399,0.287,0.409,1.58E-50,-0.061005399
TPT1,1.68E-33,-0.060201251,1,1,5.66E-29,-0.060201251
RPS18,6.55E-60,-0.060083333,1,1,2.21E-55,-0.060083333
GNAI1,8.78E-91,-0.059377491,0.225,0.364,2.96E-86,-0.059377491
CD164,3.22E-64,-0.058786388,0.619,0.761,1.09E-59,-0.058786388
HHEX,2.19E-85,-0.058382354,0.464,0.624,7.37E-81,-0.058382354
MTRNR2L12,2.32E-81,-0.057815854,0.652,0.806,7.80E-77,-0.057815854
FCGRT,6.57E-76,-0.057293933,0.27,0.405,2.21E-71,-0.057293933
PTPRC,2.10E-60,-0.057065891,0.58,0.718,7.08E-56,-0.057065891
HOXA7,2.30E-63,-0.056981324,0.229,0.347,7.75E-59,-0.056981324
HOXA9,9.71E-80,-0.056960524,0.339,0.485,3.27E-75,-0.056960524
GMFG,1.70E-19,-0.056928509,0.983,0.993,5.73E-15,-0.056928509
DLK1,4.46E-42,-0.056308482,0.19,0.284,1.50E-37,-0.056308482
TMEM14C,3.79E-41,-0.056221537,0.786,0.885,1.28E-36,-0.056221537
MFAP2,3.72E-93,-0.056058647,0.23,0.368,1.25E-88,-0.056058647
SVIP,1.10E-44,-0.055450501,0.704,0.819,3.71E-40,-0.055450501
HINT1,1.88E-28,-0.055378787,0.997,0.999,6.33E-24,-0.055378787
MZB1,9.96E-69,-0.054997832,0.254,0.377,3.36E-64,-0.054997832
HLA-DMB,1.09E-67,-0.054681939,0.282,0.408,3.67E-63,-0.054681939
UQCRB,9.20E-21,-0.05390712,0.98,0.991,3.10E-16,-0.05390712
EBPL,6.23E-35,-0.053758825,0.818,0.905,2.10E-30,-0.053758825
ABI3,1.11E-77,-0.053530905,0.184,0.3,3.75E-73,-0.053530905
ATXN2L,1.90E-80,-0.05348524,0.293,0.428,6.39E-76,-0.05348524
LST1,4.10E-46,-0.053099785,0.629,0.749,1.38E-41,-0.053099785
TNFRSF4,6.88E-26,-0.052931728,0.097,0.162,2.32E-21,-0.052931728
TOP2A,1.58E-05,-0.052646292,0.591,0.635,0.532204622,-0.052646292
RPS27L,7.36E-14,-0.052607237,0.882,0.927,2.48E-09,-0.052607237
ITM2C,1.90E-52,-0.052418818,0.79,0.899,6.40E-48,-0.052418818
SUMO2,1.56E-18,-0.052055627,0.96,0.984,5.27E-14,-0.052055627
SNCA,9.64E-83,-0.051939374,0.397,0.547,3.25E-78,-0.051939374
CAPZA2,1.67E-72,-0.051871778,0.437,0.579,5.63E-68,-0.051871778
CD99,8.40E-40,-0.051791303,0.848,0.932,2.83E-35,-0.051791303
PLGRKT,2.80E-78,-0.051608663,0.264,0.393,9.42E-74,-0.051608663
ALDH1A1,1.22E-74,-0.051492908,0.267,0.394,4.10E-70,-0.051492908
LSM8,9.11E-45,-0.051479229,0.748,0.856,3.07E-40,-0.051479229
CTHRC1,1.64E-63,-0.051399641,0.129,0.226,5.52E-59,-0.051399641
MYL12A,1.37E-51,-0.051145835,0.834,0.931,4.61E-47,-0.051145835
RPS29,1.17E-36,-0.050540705,1,1,3.93E-32,-0.050540705
ELMSAN1,9.90E-75,-0.050527294,0.239,0.362,3.34E-70,-0.050527294
TROAP,2.05E-42,-0.050341591,0.244,0.343,6.92E-38,-0.050341591
SRSF9,2.22E-30,-0.050235063,0.887,0.951,7.46E-26,-0.050235063
S100Z,6.07E-63,-0.050176249,0.175,0.279,2.05E-58,-0.050176249
BRI3,1.95E-53,-0.050033923,0.806,0.912,6.58E-49,-0.050033923
BLVRB,8.80E-69,-0.049931643,0.44,0.579,2.97E-64,-0.049931643
TPRKB,8.40E-52,-0.049775719,0.632,0.757,2.83E-47,-0.049775719
NDUFA4,1.78E-18,-0.04970883,0.992,0.995,5.98E-14,-0.04970883
LINC00998,1.65E-81,-0.049697379,0.403,0.549,5.58E-77,-0.049697379
RABAC1,4.19E-42,-0.049512294,0.776,0.877,1.41E-37,-0.049512294
SMDT1,6.28E-50,-0.049505202,0.715,0.832,2.12E-45,-0.049505202
RPS27A,5.73E-53,-0.049468186,1,1,1.93E-48,-0.049468186
SH3BGRL,4.05E-50,-0.049043178,0.702,0.821,1.36E-45,-0.049043178
GIMAP7,6.08E-71,-0.04904026,0.133,0.234,2.05E-66,-0.04904026
GNAI2,7.29E-20,-0.048869089,0.947,0.978,2.45E-15,-0.048869089
SDHC,1.44E-56,-0.048495375,0.547,0.679,4.84E-52,-0.048495375
PARP14,6.49E-90,-0.048460446,0.305,0.448,2.19E-85,-0.048460446
SCP2,1.32E-70,-0.048150329,0.525,0.669,4.43E-66,-0.048150329
MSRB2,6.51E-72,-0.048084518,0.449,0.59,2.19E-67,-0.048084518
PSMA5,1.07E-48,-0.047799257,0.746,0.857,3.62E-44,-0.047799257
ZNF706,5.94E-33,-0.047568047,0.829,0.91,2.00E-28,-0.047568047
GLYATL2,1.05E-68,-0.047490395,0.088,0.177,3.53E-64,-0.047490395
EPB41L4A-AS1,2.38E-36,-0.047446029,0.792,0.883,8.00E-32,-0.047446029
CAST,9.00E-70,-0.047402173,0.399,0.535,3.03E-65,-0.047402173
SELK,4.21E-76,-0.047387118,0.436,0.577,1.42E-71,-0.047387118
SDHD,1.42E-72,-0.047291301,0.532,0.676,4.78E-68,-0.047291301
MAGED2,8.00E-65,-0.047164517,0.508,0.646,2.69E-60,-0.047164517
PTTG1,2.21E-19,-0.047111301,0.67,0.747,7.44E-15,-0.047111301
SSBP3,2.94E-75,-0.047064816,0.31,0.44,9.92E-71,-0.047064816
CCDC53,1.19E-79,-0.046924949,0.338,0.477,4.00E-75,-0.046924949
ATP6V1F,6.61E-24,-0.046845214,0.906,0.958,2.23E-19,-0.046845214
RCBTB2,9.67E-65,-0.046686909,0.191,0.297,3.26E-60,-0.046686909
RPL11,8.63E-40,-0.046677872,1,1,2.91E-35,-0.046677872
C11orf31,1.19E-23,-0.046634447,0.891,0.947,4.01E-19,-0.046634447
LINC01420,1.30E-59,-0.046576542,0.574,0.706,4.39E-55,-0.046576542
RPL19,1.44E-43,-0.046047744,1,1,4.85E-39,-0.046047744
CPNE3,2.19E-86,-0.045723119,0.402,0.55,7.39E-82,-0.045723119
DDAH2,3.30E-61,-0.045708484,0.583,0.718,1.11E-56,-0.045708484
DUSP3,3.45E-83,-0.045677925,0.261,0.389,1.16E-78,-0.045677925
GNAS,6.65E-17,-0.045370977,0.986,0.994,2.24E-12,-0.045370977
NDUFB8,7.94E-25,-0.045367966,0.863,0.928,2.68E-20,-0.045367966
TRMT112,1.20E-37,-0.045247627,0.832,0.917,4.03E-33,-0.045247627
TMSB4X,3.88E-15,-0.045237788,1,1,1.31E-10,-0.045237788
FTH1,2.96E-24,-0.044918447,0.999,0.999,9.96E-20,-0.044918447
TP53TG1,1.47E-80,-0.044892718,0.293,0.422,4.96E-76,-0.044892718
INPP4B,6.79E-76,-0.04464882,0.164,0.273,2.29E-71,-0.04464882
RPL9,3.09E-30,-0.044549593,1,1,1.04E-25,-0.044549593
FLYWCH2,1.37E-74,-0.044485156,0.248,0.369,4.61E-70,-0.044485156
BLOC1S2,5.90E-67,-0.044445682,0.326,0.45,1.99E-62,-0.044445682
BTF3,5.81E-21,-0.044205087,0.999,0.999,1.96E-16,-0.044205087
RPS7,5.53E-35,-0.043811596,1,1,1.86E-30,-0.043811596
HNRNPH1,1.21E-51,-0.043767819,0.587,0.709,4.09E-47,-0.043767819
LPIN1,7.86E-62,-0.043491302,0.245,0.355,2.65E-57,-0.043491302
SEPW1,2.02E-44,-0.043482582,0.652,0.765,6.81E-40,-0.043482582
MYL6,6.40E-15,-0.043462027,0.974,0.99,2.16E-10,-0.043462027
UBE2L6,3.21E-76,-0.04333666,0.561,0.707,1.08E-71,-0.04333666
PPIA,1.45E-17,-0.043325019,0.999,0.999,4.89E-13,-0.043325019
IGHD,5.54E-55,-0.043095971,0.12,0.204,1.87E-50,-0.043095971
CRHBP,8.77E-42,-0.04303421,0.153,0.234,2.95E-37,-0.04303421
KRT10,1.72E-35,-0.04301462,0.775,0.867,5.79E-31,-0.04301462
TRAF3IP2,1.99E-70,-0.042968143,0.163,0.265,6.71E-66,-0.042968143
EIF3E,4.99E-14,-0.042947362,0.97,0.986,1.68E-09,-0.042947362
GIMAP1,2.64E-61,-0.04285727,0.12,0.209,8.90E-57,-0.04285727
PHACTR1,2.50E-84,-0.042777853,0.267,0.396,8.41E-80,-0.042777853
PCBD1,6.92E-73,-0.042771304,0.616,0.76,2.33E-68,-0.042771304
FXYD5,1.16E-16,-0.042640438,0.949,0.978,3.91E-12,-0.042640438
PSMA1,1.10E-38,-0.042639019,0.814,0.904,3.72E-34,-0.042639019
CDC26,5.41E-79,-0.042632066,0.41,0.55,1.82E-74,-0.042632066
TRIM22,7.58E-70,-0.042594175,0.255,0.373,2.55E-65,-0.042594175
MX1,6.18E-53,-0.04254693,0.076,0.149,2.08E-48,-0.04254693
PLSCR1,6.34E-78,-0.042538887,0.194,0.308,2.14E-73,-0.042538887
RPL32,2.23E-36,-0.042194692,1,1,7.51E-32,-0.042194692
LPXN,1.77E-62,-0.041775276,0.338,0.457,5.95E-58,-0.041775276
PROCR,6.19E-81,-0.041769229,0.145,0.247,2.09E-76,-0.041769229
TCF4,3.33E-70,-0.04176332,0.283,0.405,1.12E-65,-0.04176332
IGFBP7,1.45E-42,-0.041754091,0.75,0.854,4.89E-38,-0.041754091
ZNRD1,1.10E-55,-0.041657299,0.559,0.685,3.70E-51,-0.041657299
GTF2A2,1.98E-46,-0.041650228,0.738,0.846,6.69E-42,-0.041650228
IGHM,4.01E-81,-0.041552084,0.253,0.376,1.35E-76,-0.041552084
CYB5A,1.12E-63,-0.041492151,0.333,0.454,3.78E-59,-0.041492151
MALAT1,7.43E-07,-0.041412602,1,1,0.025045728,-0.041412602
ZCRB1,2.45E-44,-0.041381346,0.771,0.873,8.25E-40,-0.041381346
HMMR,7.14E-22,-0.041376407,0.311,0.386,2.41E-17,-0.041376407
CMC1,4.73E-76,-0.041157948,0.373,0.506,1.59E-71,-0.041157948
KRAS,9.54E-64,-0.041086567,0.372,0.496,3.21E-59,-0.041086567
CHCHD1,3.77E-65,-0.041016446,0.626,0.758,1.27E-60,-0.041016446
XPA,1.21E-82,-0.041007339,0.316,0.447,4.07E-78,-0.041007339
TXN,7.28E-16,-0.040882059,0.992,0.996,2.45E-11,-0.040882059
TMEM256,6.62E-62,-0.040694102,0.619,0.753,2.23E-57,-0.040694102
GUCY1A3,2.65E-81,-0.040581542,0.238,0.356,8.92E-77,-0.040581542
CYSTM1,9.13E-70,-0.040550304,0.201,0.307,3.08E-65,-0.040550304
BAALC,1.25E-61,-0.040519619,0.443,0.57,4.22E-57,-0.040519619
MLF2,6.02E-54,-0.040492992,0.684,0.806,2.03E-49,-0.040492992
BTG1,1.86E-75,-0.040417104,0.359,0.491,6.25E-71,-0.040417104
GNG5,5.07E-20,-0.040346104,0.928,0.969,1.71E-15,-0.040346104
CKS1B,1.08E-26,-0.040303197,0.634,0.723,3.65E-22,-0.040303197
SCAMP2,8.48E-68,-0.040271736,0.471,0.603,2.86E-63,-0.040271736
RPL7A,4.28E-29,-0.040249348,1,1,1.44E-24,-0.040249348
RGS19,1.99E-75,-0.040192413,0.468,0.61,6.72E-71,-0.040192413
AES,1.04E-43,-0.040040243,0.753,0.857,3.51E-39,-0.040040243
GTF2H5,2.45E-66,-0.040011297,0.508,0.642,8.27E-62,-0.040011297
IFI27L2,8.61E-65,-0.040008077,0.247,0.358,2.90E-60,-0.040008077
CHMP2B,6.56E-65,-0.039803559,0.392,0.516,2.21E-60,-0.039803559
LAMTOR5,7.92E-44,-0.039589769,0.824,0.915,2.67E-39,-0.039589769
IAH1,2.02E-63,-0.039578221,0.472,0.602,6.81E-59,-0.039578221
TMEM219,5.04E-93,-0.039542907,0.501,0.655,1.70E-88,-0.039542907
PNISR,2.94E-36,-0.03954137,0.805,0.893,9.89E-32,-0.03954137
CD47,1.10E-49,-0.039496655,0.544,0.662,3.72E-45,-0.039496655
CTNNB1,1.67E-52,-0.039491991,0.221,0.318,5.62E-48,-0.039491991
CCDC109B,5.28E-85,-0.039460628,0.438,0.583,1.78E-80,-0.039460628
MPG,7.59E-38,-0.03939362,0.745,0.844,2.56E-33,-0.03939362
GABARAPL2,4.18E-73,-0.039362671,0.479,0.615,1.41E-68,-0.039362671
GPSM3,5.73E-64,-0.039261204,0.564,0.697,1.93E-59,-0.039261204
RPS6,3.17E-29,-0.039248421,1,1,1.07E-24,-0.039248421
DYNLL1,2.09E-17,-0.039234492,0.92,0.961,7.03E-13,-0.039234492
MED30,3.70E-69,-0.039178497,0.274,0.391,1.25E-64,-0.039178497
PFDN5,1.48E-12,-0.039034013,0.99,0.996,4.98E-08,-0.039034013
GLS,8.94E-82,-0.038964881,0.293,0.419,3.01E-77,-0.038964881
HSPB11,2.22E-55,-0.038957702,0.654,0.775,7.48E-51,-0.038957702
PFDN4,6.05E-67,-0.038939448,0.504,0.637,2.04E-62,-0.038939448
ATP5O,1.72E-20,-0.038918108,0.937,0.975,5.81E-16,-0.038918108
ABRACL,1.96E-31,-0.038868432,0.838,0.915,6.61E-27,-0.038868432
RPL15,1.07E-28,-0.038848242,1,1,3.61E-24,-0.038848242
MPV17,2.16E-78,-0.038813941,0.403,0.54,7.28E-74,-0.038813941
SNX3,4.04E-52,-0.038809508,0.696,0.813,1.36E-47,-0.038809508
BCL11A,3.56E-63,-0.038779311,0.268,0.378,1.20E-58,-0.038779311
CTSS,1.25E-64,-0.038715996,0.327,0.449,4.20E-60,-0.038715996
PSME2,2.99E-16,-0.038384258,0.894,0.941,1.01E-11,-0.038384258
C4orf27,6.05E-81,-0.038300451,0.463,0.604,2.04E-76,-0.038300451
MPLKIP,9.30E-72,-0.038241647,0.556,0.694,3.13E-67,-0.038241647
RP11-251M1.1,2.45E-49,-0.038230678,0.139,0.219,8.25E-45,-0.038230678
DEGS1,3.68E-74,-0.038184636,0.315,0.437,1.24E-69,-0.038184636
KIAA0087,2.50E-34,-0.038125774,0.078,0.136,8.44E-30,-0.038125774
NFU1,2.38E-72,-0.038033751,0.299,0.418,8.01E-68,-0.038033751
COX6A1,2.67E-14,-0.037877159,0.975,0.991,9.00E-10,-0.037877159
UPF3A,2.86E-57,-0.037842193,0.602,0.728,9.65E-53,-0.037842193
RAB13,4.36E-72,-0.037839687,0.505,0.643,1.47E-67,-0.037839687
CD59,3.75E-73,-0.037790549,0.535,0.676,1.26E-68,-0.037790549
TMEM59,3.24E-74,-0.037786488,0.524,0.663,1.09E-69,-0.037786488
VIM,3.25E-13,-0.037728242,0.998,0.997,1.09E-08,-0.037728242
STAB1,2.31E-87,-0.037611127,0.19,0.301,7.78E-83,-0.037611127
FERMT3,9.66E-82,-0.0375952,0.447,0.586,3.25E-77,-0.0375952
CD79B,1.06E-85,-0.037578514,0.328,0.463,3.59E-81,-0.037578514
SLC25A5,3.84E-13,-0.03739584,0.997,0.997,1.29E-08,-0.03739584
NDUFB5,1.21E-73,-0.037348952,0.575,0.713,4.09E-69,-0.037348952
RP11-89K11.1,3.36E-35,-0.037311156,0.076,0.139,1.13E-30,-0.037311156
TXNIP,3.54E-84,-0.037224191,0.362,0.504,1.19E-79,-0.037224191
CENPF,4.01E-11,-0.037100932,0.601,0.66,1.35E-06,-0.037100932
CD109,1.18E-75,-0.037079373,0.287,0.41,3.99E-71,-0.037079373
CCDC25,4.48E-66,-0.036931745,0.564,0.696,1.51E-61,-0.036931745
PDCD5,4.88E-18,-0.036930218,0.928,0.967,1.64E-13,-0.036930218
UBALD2,4.17E-53,-0.03691969,0.346,0.456,1.41E-48,-0.03691969
C4orf3,1.47E-49,-0.036874314,0.71,0.822,4.97E-45,-0.036874314
GCHFR,3.30E-76,-0.036780841,0.572,0.717,1.11E-71,-0.036780841
RPL27A,2.75E-16,-0.036703934,0.998,0.998,9.27E-12,-0.036703934
DPY30,3.73E-77,-0.036687735,0.46,0.598,1.26E-72,-0.036687735
SHANK3,1.32E-39,-0.036630026,0.058,0.118,4.45E-35,-0.036630026
CBX2,9.05E-78,-0.036564542,0.234,0.348,3.05E-73,-0.036564542
TMSB10,1.95E-17,-0.036543487,0.999,1,6.59E-13,-0.036543487
JAK3,7.86E-82,-0.036508034,0.337,0.468,2.65E-77,-0.036508034
GCA,1.04E-66,-0.036422315,0.312,0.43,3.50E-62,-0.036422315
GNA12,3.06E-79,-0.036389322,0.247,0.366,1.03E-74,-0.036389322
TRBC2,1.81E-68,-0.036320025,0.371,0.493,6.11E-64,-0.036320025
SEPT9,1.39E-75,-0.036312498,0.409,0.544,4.69E-71,-0.036312498
SNRNP40,2.95E-73,-0.036297516,0.49,0.627,9.95E-69,-0.036297516
LACTB2,1.03E-70,-0.036292165,0.219,0.324,3.48E-66,-0.036292165
CYBA,2.25E-10,-0.036033023,0.982,0.99,7.59E-06,-0.036033023
OPTN,1.00E-86,-0.035995307,0.176,0.286,3.37E-82,-0.035995307
MMRN1,1.84E-50,-0.035970408,0.107,0.181,6.18E-46,-0.035970408
TUBA1C,2.58E-16,-0.035853026,0.831,0.887,8.69E-12,-0.035853026
ENY2,2.96E-37,-0.035833375,0.838,0.92,9.97E-33,-0.035833375
NTPCR,8.71E-74,-0.035776253,0.332,0.456,2.93E-69,-0.035776253
LPAR6,1.62E-46,-0.035721736,0.075,0.141,5.46E-42,-0.035721736
CYSLTR1,1.80E-73,-0.035673292,0.246,0.357,6.06E-69,-0.035673292
PDLIM2,5.02E-74,-0.035641744,0.365,0.492,1.69E-69,-0.035641744
RPL29,1.67E-23,-0.035637485,1,1,5.64E-19,-0.035637485
MAGOH,1.67E-33,-0.035548772,0.787,0.874,5.62E-29,-0.035548772
CSNK2B,3.65E-41,-0.035259729,0.789,0.884,1.23E-36,-0.035259729
MRPL16,1.06E-67,-0.035253472,0.574,0.706,3.58E-63,-0.035253472
RPL6,2.73E-20,-0.035232535,1,1,9.20E-16,-0.035232535
S100B,6.40E-54,-0.035177984,0.091,0.166,2.16E-49,-0.035177984
ADA,2.82E-75,-0.035162398,0.49,0.627,9.50E-71,-0.035162398
PSIP1,5.07E-23,-0.035075903,0.885,0.942,1.71E-18,-0.035075903
SUMO1,1.88E-44,-0.035007994,0.738,0.841,6.32E-40,-0.035007994
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
