attrib_name,average surv>24 months,average surv<24 months,log2FC stratified by survival
KCNE1,-0.498494666,0.582970966,1.081465632
C3orf50,-0.34010224,0.73423449,1.07433673
C7orf58,-0.471955903,0.601149319,1.073105222
RAB27B,-0.503081579,0.569504308,1.072585887
MYCL1,-0.395938122,0.675491594,1.071429717
CD300LB,-0.560014687,0.507219471,1.067234158
C10orf105,-0.52059744,0.542844897,1.063442336
ALDH1A1,-0.197819666,0.86406524,1.061884905
NRBP2,-0.541327916,0.513684521,1.055012437
FGD2,-0.494630014,0.557975544,1.052605558
MPEG1,-0.417977027,0.633921276,1.051898303
EGF,-0.390929516,0.652181331,1.043110847
DDIT4,-0.530569701,0.512417159,1.04298686
MSR1,-0.456670057,0.580375515,1.037045572
JAKMIP2,-0.335835811,0.696085147,1.031920958
MYO7A,-0.472734531,0.557646559,1.03038109
ARHGEF10L,-0.414352454,0.612976302,1.027328755
LILRA3,-0.53229022,0.494911733,1.027201954
CD163,-0.341956401,0.684208153,1.026164554
FHL1,-0.416415896,0.608690785,1.025106682
PTK2,-0.231509495,0.792001487,1.023510982
DPPA4,-0.222578734,0.80053552,1.023114254
CRIP1,-0.743822084,0.275440501,1.019262585
IL1RN,-0.46645256,0.551864107,1.018316668
C20orf54,-0.43644968,0.57928879,1.01573847
IFI30,-0.485142852,0.523729932,1.008872784
OTOA,-0.477690754,0.522045816,0.99973657
CYTH4,-0.549896693,0.449821031,0.999717724
BLNK,-0.444590114,0.552859539,0.997449653
RYR1,-0.523282504,0.473444424,0.996726927
LIPC,-0.537656117,0.458874117,0.996530234
PLD4,-0.536543599,0.4586932,0.995236799
ATP10A,-0.375138727,0.617995525,0.993134252
MYH15,-0.487210597,0.505442996,0.992653593
MX1,-0.400116181,0.591609929,0.99172611
CD300E,-0.477869737,0.511009189,0.988878926
LDLRAD3,-0.456489154,0.52914455,0.985633703
CLCN5,-0.391769346,0.591461264,0.98323061
GNGT2,-0.41888926,0.563934477,0.982823737
CLEC9A,-0.081177987,0.901424198,0.982602185
NRGN,-0.420477596,0.560410342,0.980887938
SH3TC1,-0.523809104,0.455250553,0.979059657
TMEM136,-0.282866074,0.694609395,0.977475469
EPB41L3,-0.444432895,0.530940993,0.975373888
CT45A1,-0.617095839,0.357547337,0.974643176
LILRA1,-0.522994097,0.448848405,0.971842501
SRC,-0.45934591,0.50946189,0.9688078
MEFV,-0.365708108,0.601774819,0.967482927
COL5A1,-0.189743812,0.776979311,0.966723124
CMTM5,-0.248638869,0.714899454,0.963538323
CLEC10A,-0.30794239,0.655482036,0.963424426
CCL23,-0.650827916,0.312108882,0.962936798
NOV,-0.555618528,0.405681209,0.961299737
GZMB,-0.391234068,0.569349316,0.960583384
LDLR,-0.481052703,0.476884078,0.957936781
ZNF532,-0.316694452,0.630582108,0.94727656
PLXNC1,-0.386717354,0.558486055,0.94520341
ABI3,-0.406577489,0.538044769,0.944622259
NEURL,-0.440041856,0.502456624,0.94249848
SOCS2,-0.354525498,0.587424849,0.941950347
F12,-0.60232244,0.338941578,0.941264017
C5orf20,-0.472833784,0.46817393,0.941007714
ITGAX,-0.543463158,0.39733153,0.940794688
PTPRO,-0.465246266,0.474588317,0.939834583
S100A8,-0.315029872,0.622132601,0.937162473
TMEM163,-0.445109566,0.491125449,0.936235016
SLC29A2,-0.424631294,0.510890289,0.935521584
ANKRD5,-0.415414403,0.51951249,0.934926892
S100A9,-0.344847475,0.589422416,0.934269892
NLRP2,-0.557926174,0.369878408,0.927804582
HLA-DRB1,-0.444787767,0.481558243,0.92634601
HLA-DQB1,-0.455467568,0.470190807,0.925658375
SEMA3C,-0.229751458,0.694813928,0.924565386
DIRC3,-0.448314118,0.476072888,0.924387006
CLNK,-0.516515149,0.406883748,0.923398898
MT1E,-0.469085633,0.454194152,0.923279785
LOC100131551,-0.40989623,0.512947761,0.922843992
LOC100271722,-0.584115185,0.338674527,0.922789712
PPM1J,-0.34216867,0.579896275,0.922064945
ROBO3,-0.479499111,0.442322417,0.921821528
CD14,-0.315223755,0.600574245,0.915798001
HSPC159,-0.293407255,0.618438495,0.911845749
AMICA1,-0.333668065,0.576992768,0.910660833
HK3,-0.403602987,0.507028453,0.91063144
TMEM200A,-0.278152881,0.631551254,0.909704135
MYO1E,-0.358744701,0.549489789,0.90823449
C4orf32,-0.426402347,0.481333344,0.907735691
RECK,-0.473421942,0.434300096,0.907722038
IRF8,-0.39499239,0.512360673,0.907353063
CYP27A1,-0.275457219,0.631021263,0.906478482
CLEC7A,-0.394534922,0.508296415,0.902831336
CYYR1,-0.068731935,0.831802692,0.900534626
HOXB9,-0.718726956,0.1817812,0.900508156
CT45A3,-0.516120982,0.382985101,0.899106083
SLC15A3,-0.365424858,0.530875024,0.896299881
ACY3,-0.514170661,0.3810832,0.895253861
FAM81A,-0.435645448,0.456941793,0.892587241
CLIP4,-0.45986611,0.432531077,0.892397187
TRPS1,-0.254078876,0.637369667,0.891448544
MCOLN2,-0.39485889,0.49649615,0.89135504
HNMT,-0.34442308,0.546871702,0.891294782
NCF2,-0.435860171,0.453917647,0.889777818
KCTD17,-0.406577098,0.482101892,0.88867899
CD300C,-0.516225605,0.371336134,0.887561739
SCHIP1,-0.605592461,0.281175071,0.886767532
L3MBTL4,-0.344807788,0.541309042,0.88611683
PDZD7,-0.554195519,0.328461662,0.882657181
KIAA0087,-0.371781615,0.510263706,0.882045321
ELN,-0.442857468,0.43913072,0.881988188
IFI44L,-0.286378663,0.593809609,0.880188272
RBM47,-0.331144844,0.547656944,0.878801787
PRICKLE4,-0.493133037,0.385469944,0.878602981
CGREF1,-0.431943919,0.445356838,0.877300757
ST14,-0.374909531,0.501560527,0.876470058
CD34,-0.205347475,0.670983897,0.876331372
SDR42E1,-0.306364509,0.566447569,0.872812078
KCNA5,-0.395659104,0.475628218,0.871287322
MPV17L,-0.428048506,0.443105436,0.871153942
VWA5A,-0.373702845,0.494871428,0.868574273
MST1R,-0.301690683,0.566880968,0.868571651
HLA-DPA1,-0.406424573,0.461561922,0.867986496
GLI2,-0.312370555,0.553552131,0.865922685
AGPAT9,-0.320949147,0.544605705,0.865554852
HSPA7,-0.426525213,0.437830281,0.864355494
RTN1,-0.194279659,0.669619727,0.863899385
FGR,-0.422036842,0.439846684,0.861883526
ABCC3,-0.275127525,0.586290163,0.861417688
C11orf63,-0.374233997,0.48681679,0.861050788
ECHDC3,-0.37976931,0.480992737,0.860762047
EPB41L2,-0.390957255,0.469017054,0.859974308
HOXA2,-0.545142781,0.314067188,0.859209969
IL12RB2,-0.222035882,0.636960382,0.858996264
IGF2BP3,-0.420503521,0.435979686,0.856483207
SLC2A5,-0.470813656,0.384975162,0.855788818
NLRP12,-0.349836664,0.505254324,0.855090989
VDR,-0.431319097,0.422157373,0.85347647
ROBO4,-0.304182255,0.54779597,0.851978225
CLIC2,-0.304124004,0.546715244,0.850839248
KIR2DL4,-0.387161842,0.46201435,0.849176192
DEFA1B,-0.288872262,0.559274276,0.848146538
CD52,-0.365041821,0.483077966,0.848119787
PRR7,-0.556722048,0.290990906,0.847712954
CYP7B1,-0.392691287,0.453439544,0.846130832
BVES,-0.374167105,0.470846845,0.84501395
LGALS2,-0.444693563,0.399141197,0.84383476
IL15,-0.251185206,0.589284428,0.840469634
PHACTR3,-0.412753912,0.426352246,0.839106158
HRH1,-0.405864651,0.432797705,0.838662356
MPZL2,-0.291518954,0.543950072,0.835469026
CREB5,-0.335784815,0.497986602,0.833771417
SH3TC2,-0.425817212,0.40751663,0.833333842
TBC1D12,-0.254669808,0.57819655,0.832866358
BEND4,-0.228571479,0.603618925,0.832190404
OPTN,-0.256535491,0.575351674,0.831887165
TFEB,-0.448654054,0.382969559,0.831623613
CCR2,-0.284535846,0.546088678,0.830624525
SPATS2L,-0.347267212,0.483291715,0.830558927
LY6G6F,-0.261845448,0.568321604,0.830167052
KCNQ1,-0.40118229,0.428114262,0.829296552
KCNC3,-0.3641766,0.464637963,0.828814563
tAKR,-0.317203058,0.511309349,0.828512407
ATP6V0E2,-0.438782717,0.389411353,0.82819407
CX3CR1,-0.390733357,0.434910836,0.825644193
GPR173,-0.256700747,0.566920427,0.823621174
OTOF,-0.311668812,0.510844379,0.822513191
ARHGAP6,-0.239486202,0.581775614,0.821261816
CBR1,-0.422623435,0.398280633,0.820904068
HLA-DRA,-0.38341963,0.437126466,0.820546096
CA3,-0.260528485,0.559481185,0.82000967
WNT6,-0.412743065,0.404287488,0.817030553
FXYD6,-0.21506234,0.601894863,0.816957203
CD300A,-0.4257883,0.390109393,0.815897693
VNN2,-0.265820661,0.549785506,0.815606167
PLXNA1,-0.407973364,0.405894499,0.813867863
PPAPDC3,-0.355036807,0.458466792,0.813503599
LAG3,-0.278230619,0.534108156,0.812338775
PROM1,-0.341664687,0.469521324,0.811186011
RHPN1,-0.503354018,0.307776069,0.811130087
SH3BP5,-0.267675747,0.541863268,0.809539014
TCF15,-0.423371871,0.385756523,0.809128393
PPP1R9A,-0.20109559,0.607472157,0.808567747
BAG3,-0.237429587,0.570228289,0.807657877
TNNT3,-0.359392994,0.446643181,0.806036175
ITGAM,-0.354224716,0.451516825,0.805741541
NEXN,-0.298446764,0.506990527,0.805437291
CACNA1F,-0.490336522,0.314652225,0.804988747
ABO,-0.124266572,0.680626628,0.8048932
LILRB3,-0.414882006,0.389928048,0.804810054
LY86,-0.485463656,0.318859793,0.804323449
HLA-DRB6,-0.437341643,0.366977216,0.804318859
C6orf25,-0.237068919,0.563550515,0.800619434
RYR2,-0.242999929,0.557266616,0.800266545
LOC283070,-0.393396728,0.406299504,0.799696232
MMRN1,-0.166378414,0.629971727,0.796350141
IL7,-0.221064296,0.574531453,0.795595749
PLCB4,-0.148019879,0.647086117,0.795105996
ADAMTS10,-0.263654374,0.529753548,0.793407922
ABCA9,-0.263752312,0.52919618,0.792948491
SAGE1,-0.575598009,0.215473787,0.791071796
TLR7,-0.309469915,0.480862659,0.790332574
TRIM32,-0.364839331,0.425224234,0.790063566
IL12RB1,-0.455448826,0.333489156,0.788937982
CAMK1D,-0.376756366,0.410539536,0.787295902
INHBA,-0.398045484,0.388729152,0.786774635
CD180,-0.47830857,0.307277473,0.785586044
CMKLR1,-0.219306721,0.564928456,0.784235178
KCNH4,-0.438544666,0.344843167,0.783387833
TLR5,-0.3197649,0.462826094,0.782590994
VWF,-0.288092176,0.493458215,0.781550392
PBX3,-0.464903698,0.315841702,0.780745401
TMEM63C,-0.253875427,0.526329681,0.780205108
TIFAB,-0.381187589,0.397488034,0.778675623
FCGR2C,-0.340007148,0.435484489,0.775491637
MAP7D2,-0.326168883,0.447686779,0.773855662
INPP4B,-0.195640683,0.574621949,0.770262632
CCDC102A,-0.419163051,0.350715132,0.769878183
TNFRSF1B,-0.38164111,0.386593624,0.768234734
LILRB1,-0.33383133,0.43344517,0.7672765
RHBDF1,-0.397404908,0.369543331,0.766948238
BFSP1,-0.33991234,0.426546201,0.766458541
BEX2,-0.222186024,0.54133405,0.763520074
FAM83G,-0.454832148,0.307255128,0.762087276
C6orf223,-0.303267603,0.458188862,0.761456465
LDOC1,-0.190823613,0.568852559,0.759676172
RELL2,-0.403900249,0.355102461,0.75900271
KCNK10,-0.39200192,0.366902227,0.758904147
C17orf88,-0.317687162,0.441141089,0.758828251
OPLAH,-0.365657646,0.39287499,0.758532636
GNAZ,-0.260074964,0.498342074,0.758417038
CHRDL1,0.04934776,0.807750037,0.758402278
CRLF2,-0.53027596,0.22792966,0.758205621
CPNE7,-0.353117496,0.404445344,0.757562841
C2orf85,-0.318264829,0.439265131,0.757529961
GZMH,-0.322535135,0.433376835,0.755911971
DKK2,-0.571924218,0.183521873,0.755446091
CDH23,-0.348249716,0.407045328,0.755295043
SPINT2,-0.315773578,0.43922186,0.754995437
SGMS2,-0.370701174,0.382244376,0.752945549
GRAMD1C,-0.349092639,0.403800355,0.752892993
TRO,-0.140124893,0.612169062,0.752293955
CD93,-0.355702027,0.39591773,0.751619757
CIITA,-0.413203058,0.338016798,0.751219856
HLA-DPB2,-0.366347084,0.383270886,0.74961797
SLC4A3,-0.35586234,0.393449168,0.749311508
CRIP3,-0.317764758,0.431375857,0.749140615
SLITRK4,-0.463064865,0.285847049,0.748911914
ASGR2,-0.303253485,0.444429507,0.747682992
ECE1,-0.270447724,0.476362557,0.746810281
ZNF229,-0.221849929,0.524802061,0.74665199
KCTD12,-0.258868599,0.487700649,0.746569247
KBTBD8,-0.340422368,0.403725892,0.744148261
FHL2,-0.125508784,0.618351637,0.743860421
CD36,-0.243602632,0.498314814,0.741917446
CD1D,-0.262655725,0.478779062,0.741434787
CDRT1,-0.45813293,0.282707125,0.740840055
S100A12,-0.128341892,0.611925497,0.740267389
KCNJ2,-0.212646835,0.526888514,0.739535349
SIGLEC1,-0.136538727,0.602780604,0.73931933
RAB31,-0.30871675,0.430594949,0.739311698
SERPINB6,-0.361826707,0.376752978,0.738579685
CD74,-0.388158073,0.350266723,0.738424796
ABCA6,-0.228551778,0.508628004,0.737179782
JPH4,-0.357573933,0.378456683,0.736030616
HLA-DPB1,-0.342584637,0.39344297,0.736027607
PODXL2,-0.350323222,0.384689957,0.735013179
FFAR2,-0.304517745,0.430345362,0.734863107
HHLA2,-0.429281686,0.303213823,0.732495509
KIR3DL2,-0.379352134,0.350690031,0.730042164
ITGA7,-0.463387873,0.266217445,0.729605318
SORCS2,-0.336414829,0.393003883,0.729418713
PMM1,-0.30069335,0.428475376,0.729168726
DNAJC12,-0.340850925,0.387337988,0.728188913
OAS2,-0.325259886,0.402879368,0.728139254
GDPD4,-0.364428521,0.36337626,0.727804781
BCL9,-0.282285384,0.445350752,0.727636136
AHNAK2,-0.376456437,0.351087049,0.727543486
AQP7P1,-0.335821622,0.391619421,0.727441043
GPR133,-0.282737376,0.444687179,0.727424555
LYPD5,-0.199141679,0.527524142,0.72666582
IFITM3,-0.211609104,0.514871458,0.726480561
CCDC48,-0.260300498,0.465811191,0.726111689
OASL,-0.286581686,0.439089278,0.725670963
SOCS1,-0.375397617,0.349542065,0.724939683
TSLP,-0.358984068,0.365940687,0.724924756
TREML2,-0.366466003,0.357617379,0.724083382
NCALD,-0.363558962,0.360501842,0.724060803
SCD,-0.256685171,0.466667537,0.723352707
CXCL5,-0.294436522,0.428843114,0.723279636
SIGLEC9,-0.242997013,0.478846233,0.721843246
PRLR,-0.333319452,0.387894842,0.721214294
SAMHD1,-0.331122902,0.389864213,0.720987114
AKAP7,-0.343928912,0.376993996,0.720922908
ITGAL,-0.3938117,0.325413567,0.719225267
ZNF560,-0.363354908,0.35539266,0.718747568
CSMD1,-0.271015434,0.446189502,0.717204936
SLC35F3,-0.282156046,0.434883103,0.717039148
IFIT1,-0.313316358,0.403494768,0.716811127
STARD8,-0.27499111,0.44015542,0.71514653
H19,-0.386502703,0.326217235,0.712719937
GALNT12,-0.254180014,0.457220654,0.711400669
SCRN1,-0.253173471,0.457977329,0.7111508
GALNT5,-0.165163193,0.542691959,0.707855152
CYB5R2,-0.287799609,0.418680339,0.706479948
KIR3DX1,-0.421161558,0.284988895,0.706150453
C17orf55,-0.421416181,0.282797993,0.704214174
SDHAP3,-0.384225213,0.319620478,0.703845691
CLEC2B,-0.273395199,0.429556173,0.702951372
CUEDC1,-0.299537055,0.403076297,0.702613353
DSCAML1,-0.359555156,0.341879765,0.701434921
PEG3,-0.127889403,0.572974387,0.700863789
FAM81B,-0.381033179,0.319265607,0.700298786
LST1,-0.362032504,0.338042725,0.700075229
EMR1,-0.493247653,0.204372079,0.697619732
AKR1C2,-0.298230121,0.398383051,0.696613172
LOC441046,-0.28690441,0.409052895,0.695957305
HIVEP3,-0.359461238,0.336034303,0.69549554
MPP3,-0.223671302,0.471768643,0.695439945
SLC9A9,-0.207388193,0.486625735,0.694013928
GNG11,-0.131894595,0.561640097,0.693534692
MAFB,-0.275012909,0.417946213,0.692959122
PCNXL2,-0.245830192,0.446893635,0.692723827
RAB17,-0.438265647,0.253631856,0.691897503
CA13,-0.249286593,0.441398087,0.69068468
WHAMML1,-0.237952347,0.452218661,0.690171008
GJC2,-0.323841145,0.366205248,0.690046393
LOC729603,-0.23915793,0.450635883,0.689793814
KIR3DL1,-0.289702347,0.40004382,0.689746167
NYNRIN,-0.256013442,0.433656817,0.68967026
HLA-DQB2,-0.353878627,0.334441856,0.688320484
CLIC3,-0.323273898,0.364682387,0.687956285
SETBP1,-0.165018279,0.52230473,0.687323009
SLC43A2,-0.364494097,0.322603419,0.687097516
CT45A5,-0.439441963,0.246924919,0.686366882
TNFRSF11A,-0.289715932,0.396484186,0.686200118
LRRC25,-0.350173471,0.335573366,0.685746837
AHR,-0.405967674,0.279716358,0.685684033
RGS10,-0.282950036,0.40144866,0.684398695
SEL1L3,-0.296376209,0.387318255,0.683694464
FAM129B,-0.210129445,0.471842429,0.681971874
IGF2R,-0.259610526,0.422106579,0.681717105
ASB2,-0.363901316,0.317522943,0.681424258
KCNJ15,-0.109351671,0.571000922,0.680352593
ATP13A2,-0.35680665,0.323069591,0.679876241
MAP7,-0.299130405,0.380095806,0.679226212
ZDHHC11,-0.371492959,0.30748218,0.678975139
ETV7,-0.207458606,0.470598202,0.678056808
CXCL10,-0.220763407,0.457041791,0.677805198
SORBS3,-0.326631223,0.350005151,0.676636374
CD1C,-0.233969132,0.441678341,0.675647473
SOX18,-0.270803805,0.404744841,0.675548646
SLC35E4,-0.370471444,0.304805245,0.675276689
C10orf54,-0.410071337,0.264804979,0.674876316
GLYATL1,-0.243405939,0.431469148,0.674875087
HLA-DMA,-0.338755797,0.334855655,0.673611452
NCF1,-0.331373115,0.341912835,0.673285951
PLEC,-0.363207575,0.309985817,0.673193391
ZFPM2,-0.142441038,0.530531971,0.672973009
CALN1,-0.148881152,0.523921037,0.672802189
HOXA1,-0.378324609,0.294338816,0.672663425
LPAR3,-0.439619772,0.232477454,0.672097226
RASD1,-0.228429125,0.443425331,0.671854456
RNF144B,-0.28163325,0.389350067,0.670983317
SFXN3,-0.407385384,0.263250728,0.670636112
GFRA2,-0.280302418,0.390029203,0.670331621
NCF1C,-0.312716252,0.355093727,0.667809979
GNAI1,-0.232491856,0.434743007,0.667234863
OAS1,-0.324433606,0.34176821,0.666201816
TRPM4,-0.094115043,0.571418915,0.665533957
MAP3K6,-0.337362873,0.328044732,0.665407605
3-Sep,-0.181723542,0.483509986,0.665233528
HIST1H3E,-0.227964794,0.437141714,0.665106508
C21orf67,-0.290436664,0.374530106,0.664966771
NRIP1,-0.196225462,0.468715633,0.664941095
KIR2DS4,-0.26529904,0.39944173,0.66474077
JAKMIP1,-0.26363638,0.400602048,0.664238427
UTF1,-0.48311739,0.180956144,0.664073534
RTP4,-0.32732059,0.334248284,0.661568875
ITGB7,-0.387633926,0.273562138,0.661196065
ADCY2,-0.475299929,0.185754346,0.661054275
FAM83B,-0.277591216,0.383419873,0.661011089
HTRA3,-0.255066892,0.405097519,0.66016441
CXCR2P1,-0.153259104,0.506425638,0.659684742
CLIC6,-0.276426565,0.383171992,0.659598557
TCF4,-0.261492639,0.398072758,0.659565397
BAI1,-0.48470569,0.174661837,0.659367527
KIR2DL1,-0.32717724,0.332009748,0.659186988
CMTM2,-0.306320057,0.352703737,0.659023794
S100A4,-0.310225569,0.348739754,0.658965323
SUSD3,-0.230580832,0.427993493,0.658574325
MYEF2,-0.14643357,0.512133948,0.658567518
LIMS3-LOC440895,-0.265366927,0.392084209,0.657451137
HPSE,-0.204997404,0.451639131,0.656636535
RSPO4,-0.365817461,0.2906125,0.656429961
GSTM5,-0.147390398,0.508696512,0.656086911
PTPRN2,-0.415354552,0.240669833,0.656024385
SLC8A3,-0.165831401,0.489891277,0.655722678
IL28RA,-0.233321053,0.422089244,0.655410296
ZNF334,-0.24939495,0.405984842,0.655379793
GAS6,-0.25550729,0.399131293,0.654638584
SNPH,-0.288955974,0.365012951,0.653968926
RUNX3,-0.285382646,0.368291675,0.653674321
TTC22,-0.246254836,0.407066153,0.65332099
HLF,-0.136853521,0.516349444,0.653202965
SLC13A3,-0.267781437,0.384718895,0.652500331
MPP7,-0.272839758,0.379564195,0.652403953
COMTD1,-0.437436344,0.214796246,0.65223259
PRIC285,-0.344978129,0.307007824,0.651985953
ABLIM3,-0.153594417,0.49793464,0.651529057
MB,-0.301301778,0.349549993,0.650851771
TM4SF1,-0.15802244,0.49225672,0.650279159
AQP10,-0.248847119,0.40136415,0.65021127
LDHAL6B,-0.253915754,0.395747866,0.64966362
SPAG16,-0.308936095,0.340704565,0.64964066
ESR1,-0.129774787,0.519789092,0.649563879
HDAC9,-0.309473969,0.339904181,0.649378149
DOK2,-0.381383357,0.267564128,0.648947485
FAM155B,-0.289784459,0.358847715,0.648632174
AKR1B1,-0.313594666,0.334919313,0.648513978
SPOCD1,-0.307074538,0.341162253,0.64823679
FAM69C,-0.283811807,0.363901421,0.647713227
ATP1A3,-0.275964474,0.370942971,0.646907445
CCL25,-0.213914367,0.432695038,0.646609405
MFAP2,-0.26676995,0.379250864,0.646020814
HLA-DOA,-0.277243065,0.368661143,0.645904208
ANO9,-0.283900996,0.360378225,0.64427922
NKAIN2,0.061806543,0.705392274,0.643585731
NDFIP1,-0.247133535,0.395643706,0.64277724
FXYD2,-0.333654303,0.309015182,0.642669485
KIFC3,-0.336212802,0.306340292,0.642553094
CACNA2D3,-0.259115789,0.383335409,0.642451199
PLA2G4C,-0.249975533,0.392383014,0.642358547
C1orf173,-0.376912091,0.265136857,0.642048948
PIM1,-0.359979303,0.281528411,0.641507714
ITGA2B,-0.14707692,0.494227964,0.641304884
HBE1,-0.195414047,0.445312199,0.640726246
SGCD,-0.320759459,0.319399863,0.640159322
LY96,-0.200883855,0.439110675,0.63999453
FAM124B,-0.247255263,0.391914749,0.639170012
LHX6,-0.238978165,0.399688639,0.638666804
C20orf103,-0.353598471,0.284220265,0.637818735
TRY6,-0.328800569,0.308416025,0.637216594
FAM190A,-0.208820626,0.428339987,0.637160613
KIAA1598,-0.169818777,0.46634437,0.636163146
SCN3A,-0.209044097,0.426849787,0.635893884
LPAL2,-0.327726956,0.307736352,0.635463308
SIGLEC12,-0.477504659,0.156543152,0.634047811
AK1,-0.285032326,0.3482274,0.633259725
CHST7,-0.336738585,0.295563243,0.632301828
NR6A1,-0.397666679,0.234060433,0.631727111
BCL2A1,-0.252829836,0.378593601,0.631423437
CD86,-0.290149289,0.340315772,0.63046506
FGFBP2,-0.254844381,0.37548362,0.630328002
LY6G6E,-0.22842724,0.399570727,0.627997968
ANXA5,-0.194211913,0.433462369,0.627674282
PRKAR2B,-0.180238976,0.446452292,0.626691267
C10orf72,-0.170669772,0.455916141,0.626585913
EXT1,-0.134804552,0.491768575,0.626573127
FUT7,-0.361070128,0.264302284,0.625372412
C8orf51,-0.354687553,0.270653503,0.625341056
HCK,-0.350895092,0.274360149,0.625255242
C1orf127,-0.380941607,0.244036935,0.624978542
SARM1,-0.310539118,0.311509268,0.622048386
ROS1,-0.444957006,0.176856414,0.62181342
TUBG2,-0.298850533,0.322909055,0.621759588
ALDOC,-0.270862447,0.350559339,0.621421785
