# WARNING: this file is not sorted!
# db	id                         alt	 E-value	adj_p-value	log_adj_p-value	bin_location	bin_width	total_width	sites_in_bin	total_sites	p_success	 p-value	mult_tests
   3	ETS2_HUMAN.H11MO.0.B ETS2_HUMAN.H11MO.0.B	1.2e-026	   2.9e-029	         -65.73	         0.0	      176	        488	        5377	      13117	  0.36066	1.2e-031	       243
   3	ETV1_HUMAN.H11MO.0.A ETV1_HUMAN.H11MO.0.A	4.6e-209	   1.1e-211	        -485.76	         0.0	      172	        490	        5445	      10964	  0.35102	4.5e-214	       244
   3	ETV2_HUMAN.H11MO.0.B ETV2_HUMAN.H11MO.0.B	2.2e-180	   5.2e-183	        -419.72	         0.0	      143	        485	        4435	      10319	  0.29485	2.2e-185	       242
   3	ETV4_HUMAN.H11MO.0.B ETV4_HUMAN.H11MO.0.B	4.0e-110	   9.6e-113	        -257.94	         0.0	      148	        490	        5179	      13086	  0.30204	3.9e-115	       244
   3	ETV5_HUMAN.H11MO.0.C ETV5_HUMAN.H11MO.0.C	1.7e-089	   4.0e-092	        -210.45	         0.0	      119	        487	        4254	      13124	  0.24435	1.6e-094	       243
   3	FEV_HUMAN.H11MO.0.B FEV_HUMAN.H11MO.0.B	7.6e-091	   1.8e-093	        -213.55	         0.0	      219	        491	        7050	      13145	  0.44603	7.4e-096	       245
   3	FLI1_HUMAN.H11MO.0.A FLI1_HUMAN.H11MO.0.A	2.0e-057	   4.7e-060	        -136.62	         0.0	      111	        483	        3612	      12246	  0.22981	1.9e-062	       241
   3	FOSB_HUMAN.H11MO.0.A FOSB_HUMAN.H11MO.0.A	6.2e-010	   1.5e-012	         -27.24	         0.0	      150	        492	        3806	      11235	  0.30488	6.0e-015	       245
   3	FOSL1_HUMAN.H11MO.0.A FOSL1_HUMAN.H11MO.0.A	7.0e-053	   1.7e-055	        -126.14	         0.0	      175	        489	        2476	       5325	  0.35787	6.8e-058	       244
   3	FOSL2_HUMAN.H11MO.0.A FOSL2_HUMAN.H11MO.0.A	8.8e-035	   2.1e-037	         -84.46	         0.0	      175	        489	        2504	       5652	  0.35787	8.5e-040	       244
   3	FOS_HUMAN.H11MO.0.A FOS_HUMAN.H11MO.0.A	5.6e-016	   1.3e-018	         -41.16	         0.0	       92	        492	        2321	      10381	  0.18699	5.4e-021	       245
   3	FOXI1_HUMAN.H11MO.0.B FOXI1_HUMAN.H11MO.0.B	9.6e-013	   2.3e-015	         -33.72	         0.0	      149	        489	         789	       2001	  0.30470	9.3e-018	       244
   3	FOXO1_HUMAN.H11MO.0.A FOXO1_HUMAN.H11MO.0.A	3.6e-001	   8.4e-004	          -7.08	         0.0	       89	        489	        2544	      12882	  0.18200	3.5e-006	       244
   3	GABPA_HUMAN.H11MO.0.A GABPA_HUMAN.H11MO.0.A	2.2e-249	   5.2e-252	        -578.61	         0.0	      159	        487	        5177	      10651	  0.32649	2.1e-254	       243
   3	GATA1_HUMAN.H11MO.0.A GATA1_HUMAN.H11MO.0.A	1.6e-005	   3.9e-008	         -17.07	         0.0	       94	        482	        2093	       9466	  0.19502	1.6e-010	       240
   3	GATA2_HUMAN.H11MO.0.A GATA2_HUMAN.H11MO.0.A	8.6e-005	   2.0e-007	         -15.41	         0.0	      130	        482	        2775	       9322	  0.26971	8.5e-010	       240
   3	GATA4_HUMAN.H11MO.0.A GATA4_HUMAN.H11MO.0.A	1.8e-001	   4.2e-004	          -7.77	         0.0	       93	        491	        2238	      10804	  0.18941	1.7e-006	       245
   3	GATA6_HUMAN.H11MO.0.A GATA6_HUMAN.H11MO.0.A	5.0e-005	   1.2e-007	         -15.95	         0.0	      100	        488	        1903	       8176	  0.20492	4.9e-010	       243
   3	GLI3_HUMAN.H11MO.0.B GLI3_HUMAN.H11MO.0.B	4.8e-005	   1.2e-007	         -15.98	         0.0	      206	        490	        3179	       6958	  0.42041	4.7e-010	       244
   3	HEN1_HUMAN.H11MO.0.C HEN1_HUMAN.H11MO.0.C	1.5e-007	   3.7e-010	         -21.72	         0.0	      177	        481	        1926	       4607	  0.36798	1.5e-012	       240
   3	HIC1_HUMAN.H11MO.0.C HIC1_HUMAN.H11MO.0.C	7.8e-002	   1.8e-004	          -8.60	         0.0	      194	        492	        3629	       8646	  0.39431	7.5e-007	       245
   3	HIF1A_HUMAN.H11MO.0.C HIF1A_HUMAN.H11MO.0.C	2.2e-021	   5.3e-024	         -53.60	         0.0	      141	        493	        4000	      12120	  0.28600	2.2e-026	       246
   3	HTF4_HUMAN.H11MO.0.A HTF4_HUMAN.H11MO.0.A	7.0e-011	   1.7e-013	         -29.42	         0.0	      203	        491	        5660	      12616	  0.41344	6.8e-016	       245
   3	IRF2_HUMAN.H11MO.0.A IRF2_HUMAN.H11MO.0.A	1.0e-001	   2.4e-004	          -8.32	         0.0	       99	        481	        1608	       7017	  0.20582	1.0e-006	       240
   3	IRF4_HUMAN.H11MO.0.A IRF4_HUMAN.H11MO.0.A	9.6e-028	   2.3e-030	         -68.25	         0.0	      103	        483	        2692	      10253	  0.21325	9.5e-033	       241
   3	IRF8_HUMAN.H11MO.0.B IRF8_HUMAN.H11MO.0.B	2.0e-016	   4.7e-019	         -42.21	         0.0	      105	        481	        2435	       9387	  0.21830	1.9e-021	       240
   3	ITF2_HUMAN.H11MO.0.C ITF2_HUMAN.H11MO.0.C	1.4e-013	   3.3e-016	         -35.64	         0.0	      167	        491	        4838	      12835	  0.34012	1.4e-018	       245
   3	JUNB_HUMAN.H11MO.0.A JUNB_HUMAN.H11MO.0.A	1.5e-028	   3.6e-031	         -70.11	         0.0	      236	        490	        5264	       9701	  0.48163	1.5e-033	       244
   3	JUND_HUMAN.H11MO.0.A JUND_HUMAN.H11MO.0.A	4.0e-019	   9.5e-022	         -48.40	         0.0	      180	        490	        3726	       8886	  0.36735	3.9e-024	       244
   3	JUN_HUMAN.H11MO.0.A JUN_HUMAN.H11MO.0.A	5.4e-024	   1.3e-026	         -59.62	         0.0	      180	        490	        3566	       8358	  0.36735	5.2e-029	       244
   3	KAISO_HUMAN.H11MO.0.A KAISO_HUMAN.H11MO.0.A	1.2e-001	   2.9e-004	          -8.16	         0.0	      296	        486	        3547	       5542	  0.60905	1.2e-006	       242
   3	KLF12_HUMAN.H11MO.0.C KLF12_HUMAN.H11MO.0.C	2.5e-024	   6.0e-027	         -60.37	         0.0	      216	        490	        4383	       8758	  0.44082	2.5e-029	       244
   3	KLF15_HUMAN.H11MO.0.A KLF15_HUMAN.H11MO.0.A	5.9e0000	   1.4e-002	          -4.26	         0.0	      202	        482	        4517	      10316	  0.41909	5.9e-005	       240
   3	KLF1_HUMAN.H11MO.0.A KLF1_HUMAN.H11MO.0.A	5.4e-017	   1.3e-019	         -43.49	         0.0	      211	        487	        4534	       9398	  0.43326	5.3e-022	       243
   3	KLF3_HUMAN.H11MO.0.B KLF3_HUMAN.H11MO.0.B	6.9e-012	   1.6e-014	         -31.75	         0.0	      234	        482	        5139	       9744	  0.48548	6.8e-017	       240
   3	KLF4_HUMAN.H11MO.0.A KLF4_HUMAN.H11MO.0.A	1.9e-026	   4.5e-029	         -65.26	         0.0	      235	        491	        5142	       9557	  0.47862	1.9e-031	       245
   3	KLF5_HUMAN.H11MO.0.A KLF5_HUMAN.H11MO.0.A	2.2e-007	   5.2e-010	         -21.38	         0.0	      199	        487	        5046	      11452	  0.40862	2.1e-012	       243
   3	KLF6_HUMAN.H11MO.0.A KLF6_HUMAN.H11MO.0.A	2.1e-002	   5.0e-005	          -9.90	         0.0	      208	        482	        5366	      11802	  0.43154	2.1e-007	       240
   3	KLF8_HUMAN.H11MO.0.C KLF8_HUMAN.H11MO.0.C	2.4e-013	   5.6e-016	         -35.12	         0.0	      224	        492	        4783	       9576	  0.45528	2.3e-018	       245
   3	KLF9_HUMAN.H11MO.0.C KLF9_HUMAN.H11MO.0.C	2.1e-021	   5.1e-024	         -53.64	         0.0	      238	        486	        3602	       6485	  0.48971	2.1e-026	       242
   3	LYL1_HUMAN.H11MO.0.A LYL1_HUMAN.H11MO.0.A	1.6e-022	   3.8e-025	         -56.23	         0.0	      157	        487	        4832	      13168	  0.32238	1.6e-027	       243
   3	MAFB_HUMAN.H11MO.0.B MAFB_HUMAN.H11MO.0.B	1.6e-008	   3.9e-011	         -23.97	         0.0	      232	        490	        6523	      12903	  0.47347	1.6e-013	       244
   3	MAFF_HUMAN.H11MO.0.B MAFF_HUMAN.H11MO.0.B	6.9e-003	   1.6e-005	         -11.01	         0.0	      101	        483	        2706	      11810	  0.20911	6.8e-008	       241
   3	MAFG_HUMAN.H11MO.0.A MAFG_HUMAN.H11MO.0.A	2.6e-008	   6.1e-011	         -23.52	         0.0	      175	        483	         880	       1994	  0.36232	2.5e-013	       241
   3	MAFK_HUMAN.H11MO.0.A MAFK_HUMAN.H11MO.0.A	1.1e-011	   2.5e-014	         -31.30	         0.0	      213	        483	        2149	       4266	  0.44099	1.1e-016	       241
   3	MAX_HUMAN.H11MO.0.A MAX_HUMAN.H11MO.0.A	6.2e-018	   1.5e-020	         -45.67	         0.0	      133	        491	        3402	      10856	  0.27088	6.0e-023	       245
   3	MBD2_HUMAN.H11MO.0.B MBD2_HUMAN.H11MO.0.B	3.3e-001	   7.7e-004	          -7.16	         0.0	      282	        490	        2565	       4205	  0.57551	3.2e-006	       244
   3	MECP2_HUMAN.H11MO.0.C MECP2_HUMAN.H11MO.0.C	2.7e-004	   6.5e-007	         -14.25	         0.0	      108	        494	        1358	       5385	  0.21862	2.6e-009	       246
   3	MEIS2_HUMAN.H11MO.0.B MEIS2_HUMAN.H11MO.0.B	8.4e0000	   2.0e-002	          -3.92	         0.0	      150	        488	        1126	       3331	  0.30738	8.3e-005	       243
   3	MITF_HUMAN.H11MO.0.A MITF_HUMAN.H11MO.0.A	4.6e-012	   1.1e-014	         -32.14	         0.0	      107	        491	        1726	       6610	  0.21792	4.5e-017	       245
   3	MTF1_HUMAN.H11MO.0.C MTF1_HUMAN.H11MO.0.C	2.4e0000	   5.7e-003	          -5.16	         0.0	      364	        484	        2491	       3181	  0.75207	2.4e-005	       241
   3	MXI1_HUMAN.H11MO.0.A MXI1_HUMAN.H11MO.0.A	1.7e-019	   4.1e-022	         -49.25	         0.0	      158	        486	        3938	      10590	  0.32510	1.7e-024	       242
   3	MYB_HUMAN.H11MO.0.A MYB_HUMAN.H11MO.0.A	6.4e-017	   1.5e-019	         -43.33	         0.0	      203	        489	        5557	      12131	  0.41513	6.3e-022	       244
   3	MYCN_HUMAN.H11MO.0.A MYCN_HUMAN.H11MO.0.A	2.3e-029	   5.4e-032	         -71.99	         0.0	      167	        489	        3687	       9158	  0.34151	2.2e-034	       244
   3	MYC_HUMAN.H11MO.0.A MYC_HUMAN.H11MO.0.A	1.7e-024	   4.0e-027	         -60.79	         0.0	      158	        490	        3493	       9247	  0.32245	1.6e-029	       244
   3	MYF6_HUMAN.H11MO.0.C MYF6_HUMAN.H11MO.0.C	9.5e-004	   2.2e-006	         -13.00	         0.0	      168	        494	        2857	       7708	  0.34008	9.1e-009	       246
   3	MYOD1_HUMAN.H11MO.0.A MYOD1_HUMAN.H11MO.0.A	2.2e-017	   5.1e-020	         -44.42	         0.0	      176	        486	        3800	       9247	  0.36214	2.1e-022	       242
   3	MYOG_HUMAN.H11MO.0.B MYOG_HUMAN.H11MO.0.B	5.7e-025	   1.4e-027	         -61.87	         0.0	      166	        488	        3646	       9187	  0.34016	5.6e-030	       243
   3	NDF1_HUMAN.H11MO.0.A NDF1_HUMAN.H11MO.0.A	2.8e-022	   6.7e-025	         -55.66	         0.0	      199	        491	        4139	       8970	  0.40530	2.7e-027	       245
   3	NDF2_HUMAN.H11MO.0.B NDF2_HUMAN.H11MO.0.B	1.9e-026	   4.5e-029	         -65.26	         0.0	      196	        492	        5125	      11335	  0.39837	1.9e-031	       245
   3	NF2L1_HUMAN.H11MO.0.C NF2L1_HUMAN.H11MO.0.C	2.8e-017	   6.6e-020	         -44.16	         0.0	      162	        494	        4643	      12592	  0.32794	2.7e-022	       246
   3	NF2L2_HUMAN.H11MO.0.A NF2L2_HUMAN.H11MO.0.A	2.0e-050	   4.6e-053	        -120.50	         0.0	      145	        487	        1884	       4642	  0.29774	1.9e-055	       243
   3	NFE2_HUMAN.H11MO.0.A NFE2_HUMAN.H11MO.0.A	1.1e-039	   2.7e-042	         -95.71	         0.0	      174	        488	        3824	       8927	  0.35656	1.1e-044	       243
   3	NFIA_HUMAN.H11MO.0.C NFIA_HUMAN.H11MO.0.C	1.8e-005	   4.3e-008	         -16.96	         0.0	      218	        486	        5913	      12405	  0.44856	1.8e-010	       242
   3	NFIC_HUMAN.H11MO.0.A NFIC_HUMAN.H11MO.0.A	3.1e0000	   7.4e-003	          -4.91	         0.0	      450	        484	       11296	      12031	  0.92975	3.1e-005	       241
   3	NFKB1_HUMAN.H11MO.1.B NFKB1_HUMAN.H11MO.1.B	5.9e0000	   1.4e-002	          -4.28	         0.0	       62	        490	        1317	       9407	  0.12653	5.7e-005	       244
   3	NFYA_HUMAN.H11MO.0.A NFYA_HUMAN.H11MO.0.A	4.3e-008	   1.0e-010	         -22.99	         0.0	      229	        487	        3468	       6749	  0.47023	4.2e-013	       243
   3	NFYB_HUMAN.H11MO.0.A NFYB_HUMAN.H11MO.0.A	1.3e-014	   3.0e-017	         -38.04	         0.0	      238	        488	        3167	       5791	  0.48770	1.2e-019	       243
   3	NFYC_HUMAN.H11MO.0.A NFYC_HUMAN.H11MO.0.A	7.3e-010	   1.7e-012	         -27.09	         0.0	      199	        487	        4858	      10916	  0.40862	7.1e-015	       243
   3	NKX25_HUMAN.H11MO.0.B NKX25_HUMAN.H11MO.0.B	4.2e-003	   1.0e-005	         -11.52	         0.0	      209	        493	        5888	      13168	  0.42394	4.1e-008	       246
   3	NR1H4_HUMAN.H11MO.0.B NR1H4_HUMAN.H11MO.0.B	9.7e0000	   2.3e-002	          -3.77	         0.0	      356	        482	        7672	      10164	  0.73859	9.8e-005	       240
   3	NRF1_HUMAN.H11MO.0.A NRF1_HUMAN.H11MO.0.A	1.9e-022	   4.6e-025	         -56.05	         0.0	      296	        484	        2104	       2978	  0.61157	1.9e-027	       241
   3	OLIG2_HUMAN.H11MO.0.B OLIG2_HUMAN.H11MO.0.B	1.3e-016	   3.1e-019	         -42.63	         0.0	      179	        483	        5223	      12691	  0.37060	1.3e-021	       241
   3	OSR2_HUMAN.H11MO.0.C OSR2_HUMAN.H11MO.0.C	7.6e-014	   1.8e-016	         -36.25	         0.0	      275	        485	        7440	      12273	  0.56701	7.4e-019	       242
   3	P63_HUMAN.H11MO.0.A P63_HUMAN.H11MO.0.A	2.4e-001	   5.7e-004	          -7.47	         0.0	      218	        482	        2798	       5802	  0.45228	2.4e-006	       240
   3	P73_HUMAN.H11MO.0.A P73_HUMAN.H11MO.0.A	7.1e-001	   1.7e-003	          -6.39	         0.0	      244	        482	        4991	       9442	  0.50622	7.0e-006	       240
   3	PATZ1_HUMAN.H11MO.0.C PATZ1_HUMAN.H11MO.0.C	6.1e-002	   1.5e-004	          -8.84	         0.0	      203	        479	        5148	      11536	  0.42380	6.1e-007	       239
   3	PBX1_HUMAN.H11MO.0.A PBX1_HUMAN.H11MO.0.A	7.9e-008	   1.9e-010	         -22.40	         0.0	      209	        491	        5821	      12744	  0.42566	7.6e-013	       245
   3	PBX3_HUMAN.H11MO.0.A PBX3_HUMAN.H11MO.0.A	1.1e-014	   2.5e-017	         -38.21	         0.0	      210	        490	        5903	      12602	  0.42857	1.0e-019	       244
   3	PEBB_HUMAN.H11MO.0.C PEBB_HUMAN.H11MO.0.C	1.7e-053	   4.0e-056	        -127.55	         0.0	      146	        490	        4473	      12229	  0.29796	1.7e-058	       244
   3	PKNX1_HUMAN.H11MO.0.B PKNX1_HUMAN.H11MO.0.B	4.0e-013	   9.5e-016	         -34.59	         0.0	      222	        490	        5881	      11944	  0.45306	3.9e-018	       244
   3	PTF1A_HUMAN.H11MO.0.B PTF1A_HUMAN.H11MO.0.B	7.7e-024	   1.8e-026	         -59.27	         0.0	      163	        483	        4633	      12008	  0.33747	7.6e-029	       241
   3	REL_HUMAN.H11MO.0.B REL_HUMAN.H11MO.0.B	1.6e-004	   3.9e-007	         -14.76	         0.0	       86	        486	        2417	      12224	  0.17695	1.6e-009	       242
   3	RFX1_HUMAN.H11MO.0.B RFX1_HUMAN.H11MO.0.B	2.8e-011	   6.6e-014	         -30.35	         0.0	      179	        479	        2911	       6909	  0.37370	2.8e-016	       239
   3	RFX2_HUMAN.H11MO.0.A RFX2_HUMAN.H11MO.0.A	1.3e-005	   3.1e-008	         -17.28	         0.0	      193	        483	        1295	       2825	  0.39959	1.3e-010	       241
   3	RFX3_HUMAN.H11MO.0.B RFX3_HUMAN.H11MO.0.B	6.9e-010	   1.6e-012	         -27.14	         0.0	      221	        487	         956	       1750	  0.45380	6.7e-015	       243
   3	RFX5_HUMAN.H11MO.0.A RFX5_HUMAN.H11MO.0.A	2.7e-015	   6.4e-018	         -39.59	         0.0	      195	        481	        5039	      11246	  0.40541	2.7e-020	       240
   3	RORG_HUMAN.H11MO.0.C RORG_HUMAN.H11MO.0.C	2.6e0000	   6.3e-003	          -5.07	         0.0	      135	        489	        3370	      11498	  0.27607	2.6e-005	       244
   3	RUNX1_HUMAN.H11MO.0.A RUNX1_HUMAN.H11MO.0.A	1.8e-074	   4.2e-077	        -175.86	         0.0	      138	        490	        4098	      11273	  0.28163	1.7e-079	       244
   3	RUNX2_HUMAN.H11MO.0.A RUNX2_HUMAN.H11MO.0.A	4.3e-032	   1.0e-034	         -78.27	         0.0	      143	        487	        4188	      12066	  0.29363	4.2e-037	       243
   3	RUNX3_HUMAN.H11MO.0.A RUNX3_HUMAN.H11MO.0.A	4.5e-084	   1.1e-086	        -197.96	         0.0	      141	        491	        4143	      11033	  0.28717	4.4e-089	       245
   3	SALL4_HUMAN.H11MO.0.B SALL4_HUMAN.H11MO.0.B	5.8e0000	   1.4e-002	          -4.28	         0.0	      237	        491	        6298	      12598	  0.48269	5.7e-005	       245
   3	SMAD2_HUMAN.H11MO.0.A SMAD2_HUMAN.H11MO.0.A	2.9e-001	   7.0e-004	          -7.27	         0.0	      175	        489	        4838	      12826	  0.35787	2.9e-006	       244
